id,name,legal_form,license_number,license_date,address,phone,email,website,ceo,contacts_raw,source_url
bokt-032,“ProKredit BOKT” MMC,,BKT- 5,23.07.2014,"Bakı şəhəri, Yasamal rayonu, Hərbi şəhərcik,  Qızıl Şərq küçəsi, ev 332, mənzil 37",,,,Məmmədov Ramil Məhəbbət oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-033,"""MONETRİ BOKT"" MMC",,BKT- 18,11.12.2013,"Bakı şəhəri, Nəsimi rayonu, 28 May, ev 71-77",,,,,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-034,BOKT “Qafqaz- Kredit” MMC,,138-QB,10.10.2003,"Bakı şəhəri, Yasamal rayonu, A.M.Şərifzadə küçəsi, ev 88",(+99412) 434 50 77,,,Qurbanov Arif Adil oğlu,Tel: (+99412) 434 50 77,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-035,“REGİONAL” BOKT MMC,,BKT- 26,01.08.2014,"Bakı şəhəri, Nərimanov rayonu, Xətai prospekti, ev 21",(+99450) 206 50 16,,,Şərifov Mobil Famil oğlu,Tel: (+99450) 206 50 16,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-036,“TCF” BOKT ASC,,BKT- 27,01.08.2014,"Bakı şəhəri, Binəqədi rayonu, Əcəmi Naxçıvani küçəsi,  3066-cı məhəllə",(+99412) 563 23 27,,,Münsif Elşad Rafiq oğlu,Tel: (+99412) 563 23 27,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-037,BOKT “Viator Mikro Kredit Azərbaycan” MMC,,136-QB,30.09.2003,"Bakı şəhəri, Yasamal rayonu, Cəfər Cabbarlı küçəsi, ev 44",,,,Əliyeva Aynur Sahib qızı,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-038,“Bir Kredit BOKT” MMC,,BKT-31,05.11.2018,"Bakı şəhəri, Nəsimi rayonu, Neftçilər prospekti, ev 153, Port Baku Tower 2",,,,,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-039,"""MJ Finansial Services BOKT"" ASC",,BKT-32,14.08.2019,"Bakı şəhəri, Nərimanov rayonu, Aşıq Molla Cümə küçəsi, ev 46B",,,,Aydınov Mövsüm İlyas oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-040,"BOKT ""AZPUL"" MMC",,BKT-34,18.09.2020,"Bakı şəhəri, Nərimanov rayonu, Əhməd Rəcəbli küçəsi, ev 41, məhəllə 1965",,,,Mustafayev Məhəbbət Məhəmməd oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-041,“Prior Credit BOKT” ASC,,BKT- 35,23.09.20,"Bakı şəhəri, Nərimanov rayonu, Ziya Bünyadov prospekti, 1965-ci məhəllə (""Çinar Park"" biznes mərkəzi)",,,,Ağalarova Kifayət Aslan qızı,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-042,"BOKT ""Finans Kredit"" MMC",,BKT-36,19.11.2020,"Bakı şəhəri, Səbail rayonu,massiv 1, ev 262-A",,,,Əliyev Tural Arzu oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-043,"""PAYONİX BOKT"" MMC",,BKT-47,16.05.2024,"Bakı şəhəri, Yasamal rayonu, Bəşir Səfəroğlu küçəsi, ev 133A, 239-cu məhəllə, mənzil 23",,,,Əliyev Elnur Nüslət oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-044,BOKT “AZKREDİT” ASC,,BKT-39,10.06.2021,"Bakı şəhəri, Nizami rayonu, Mirza Xəlil Şərifli küçəsi, ev 1, mənzil 34",,,,Əliyev Ceyhun Məmmədəli oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-045,"“NAS PROJECT BOKT"" ASC",,BKT-38,10.06.2021,"Bakı şəhəri, Nərimanov rayonu, Təbriz küçəsi, ev 105/35, mənzil 56",,,,Məmmədov Elnur Fəzli oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-046,"""Nova Credit BOKT"" MMC",,BKT-45,04.10.2023,"Bakı şəhəri, Binəqədi rayonu, Süleyman Sani Axundov küçəsi, ev 3g, Red Plaza",,,,İsrafilzadə Həsən Fazil oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-047,"“FNC BOKT"" QSC",,BKT- 41,30.09.2021,"Sumqayıt şəhəri, 6 mkr., ev 35L, Gənclik küçəsi, mənzil 2",,,,Dadaşov Ramiz Nazim oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-048,"“MCB BOKT"" QSC",,BKT- 42,12.11.2021,"Bakı şəhəri, Yasamal rayonu, Tbilisi prospekti, ev 49B",,,,Cəfərov Rəmal Cəfər oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-049,“SF Azerbaijan” BOKT MMC,,BKT- 44,24.12.2021,"Bakı şəhəri, Xətai rayonu, Xocalı prospekti, ev 37",,,,Muradov Fuad Cəlil oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-050,BOKT “Azərkredit” MMC,,BKT-33,14.08.2019,"Bakı şəhəri, Suraxanı rayonu, Qaraçuxur ŞTQ, məhəllə 4042/4060, ev 2, mənzil 112",,,,Ismayılov Vüqar Firudin oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-051,"BOKT ""Forfinance"" MMC",,BKT- 50,18.06.2025,"Abşeron rayonu, Masazır, İstiqlaliyyət küçəsi, ev 54, mənzil 41",,,,Azadov Azər Fikrət oğlu,(+99412) 5264132info@forfinance.az,https://www.cbar.az/page-196/non-bank-credit-institutions
