id,list_number,name,entity_type,legal_form,activity_types,is_operator,is_internet_provider,is_host_provider,website,source,source_url
telecom-023,23,Gsp,company,MMC,"Operator, internet provayderi, host provayderi",yes,yes,yes,https://www.aznetwork.net,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-024,24,Azfibernet,company,MMC,"Operator, internet provayderi, host provayderi",yes,yes,yes,https://www.azfiber.net,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-025,25,Azqtel,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.sazz.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-026,26,Azerfon,company,MMC,Operator,yes,no,no,https://www.nar.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-027,27,Bakcell,company,MMC,Operator,yes,no,no,https://bakcell.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-028,28,Azertelekom,company,MMC,Operator,yes,no,no,https://www.azertelecom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-029,29,AzInTelecom,company,MMC,"İnternet provayderi, host provayderi",no,no,yes,https://azintelecom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-030,30,Ag Telekom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.katv1.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-031,31,Rahat Telecom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.rahattelecom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-032,32,Uninet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://uninet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-033,33,Delta Telekom Ltd,company,MMM,"Operator, internet provayderi, host provayderi",yes,yes,yes,https://www.delta-telecom.net/az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-034,34,Selnet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://selnet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-035,35,Technonet,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-036,36,Sn Telecom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.sntv.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-037,37,Megalink,company,MMC,Operator,yes,no,no,https://www.megalink.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-038,38,Super optik tech,company,MMC,Operator,yes,no,no,https://www.superoptic.net,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-039,39,Netpoint,company,MMC,Operator,yes,no,no,https://www.netpoint.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-040,40,Bilev Net,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.bilevnet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-041,41,Skylink,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-042,42,Uplink,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.uplink.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-043,43,İzone,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.izone.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-044,44,Boss Group,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-045,45,Caspel,company,MMC,Operator,yes,no,no,https://www.caspel.com,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-046,46,Saffcell,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.saffcell.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-047,47,Umna,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-048,48,Smart Sistemz Technoloji,company,MMM,"Operator, internet provayderi",yes,yes,no,https://www.smart.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-049,49,Avirtel,company,MMC,İnternet provayderi,no,no,no,https://www.avirtel.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-050,50,Teleport,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.teleport.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-051,51,Ttnet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.ttnet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-052,52,Hypernet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.hypernet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-053,53,Nest,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.nestfiber.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-054,54,Speednet,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-055,55,Beeonline,company,ASC,"Operator, internet provayderi",yes,yes,no,https://www.beeonline.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-056,56,Optik İinternet Provaiders,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-057,57,Seabak,company,MMC,"Operator, internet provayderi, host provayderi",yes,yes,yes,https://www.seabak.com,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-058,58,Qafqaznet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.qafqaz.net,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-059,59,Goodnet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.goodnet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-060,60,Rr Telecom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.rrtelecom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-061,61,Quicknet,company,MMC,Operator,yes,no,no,https://www.quick-net.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-062,62,Sky Net,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-063,63,Uni Communication Services,company,MMC,Operator,yes,no,no,https://www.azfiber.net,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-064,64,Diginet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://digigroup.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-065,65,Artkom.net,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.artkom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-066,66,Aztechnet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.aztechnet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-067,67,Kapital Telecom,company,MMC,Operator,yes,no,no,https://kapitaltelecom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-068,68,Start Telecom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.starttelecom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-069,69,Fiberhome,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-070,70,Azeuronet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.azeuronet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-071,71,Innet.az,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.azincom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-072,72,Vvorld Line,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-073,73,Lentel,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.lentel.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-074,74,Azedunet,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-075,75,Azoptiknet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.azoptiknet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-076,76,Flexnet,company,MMC,Operator,yes,no,no,https://www.flexnet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-077,77,Sevenline,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.sevenline.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-078,78,Sevinc Telecom,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-079,79,Du Telecom,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-080,80,Go Telecom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://gotelecom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-081,81,Linknet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.linknet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-082,82,Telekom İnvest,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.telecominvest.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-083,83,Gamma-Sky Net,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.gammaskynet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-084,84,Shakh Telecom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.shakh.tv,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-085,85,Fibernet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.fiber.net.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-086,86,Araz Tech,company,MMC,"Operator, internet provayderi",yes,yes,no,https://araz-net.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-087,87,Real Telecom,company,MMC,Operator,yes,no,no,https://realtelecom.tv,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-088,88,Azlink,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.azlink.com.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-089,89,Rdsc,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-090,90,Butatelecom.az,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.butatelecom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-091,91,A2Z Technologies,company,QSC,"Operator, internet provayderi",yes,yes,no,https://www.az-net.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-092,92,Portflix,company,MMC,Operator,yes,no,no,https://www.portflix.com,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-093,93,Ultranet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.ultranet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-094,94,Projects of Azerbaijan,company,MMC,Host provayderi,no,no,yes,https://www.npa.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-095,95,Premiumnetaz,company,MMC,Operator,yes,no,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-096,96,Extranet,company,MMC,Operator,yes,no,no,https://extranet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-097,97,Naxtel,company,MMC,Operator,yes,no,no,https://www.naxtel.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-098,98,Internet Service Provider,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.isp.net.az/az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-099,99,Bynet,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-100,100,Fast Net Technology,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.fnt.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-101,101,Sline,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.sline.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-102,102,Enginet,company,MMC,Operator,yes,no,no,https://enginet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-103,103,Gammanet,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-104,104,Clip Tv,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.cliptv.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-105,105,Elfiber,company,MMC,Operator,yes,no,no,https://www.elfiber.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-106,106,Fastlink,company,MMC,Operator,yes,no,no,https://fastlink.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-107,107,İdealTvnet,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.idealnet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-108,108,Bline,company,MMC,Operator,yes,no,no,https://www.bline.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-109,109,Azmeqanet,company,MMC,"Operator, internet provayderi",yes,yes,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
