brand_name,legal_name,city,address,lat,lng,phone,email,website,voen,stars_grade,tims_status,tims_id,tims_rating,insurance,service_languages,subcategory,sources,azeritour_url,description,pms_detected,pms_confidence,booking_signals,photo_url,created_at,updated_at
Eftalya ailəvi istirahət mərkəzi,Eftalya ailəvi istirahət mərkəzi,Astara,"Astalanya City, Azerbaijan",38.6209137,48.8730091,994103178059,elmir03@mail.ru,,4401336472,,APPROVED,6673eb1faeeff6a3badbc39e,,No,,Rezort Hotel,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240620124103t-r0000160610,2024-06-20T08:41:03.846Z,2025-04-29T11:56:56.486Z
Khazri Qonaq evi / Guest house,Khazri Qonaq evi / Guest house,Astara,"Astara, Azerbaijan",38.4687834,48.8728029,994502414847,sahinmusa9779@gmail.com,https://instagram.com/khazri_qonaqevi,3700081032,,APPROVED,64e3165ec29cd31ed9785454,,No,,Qonaq evi,TIMS,,,Oracle OPERA; 1C,website_scan,Oracle OPERA; 1C,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230821114638t-r0000161891,2023-08-21T07:46:38.547Z,2025-04-29T11:56:56.486Z
MANDARINNART HOTEL & SUITES,MANDARINNART HOTEL & SUITES,Astara,"33 Azərbaycan Prospekti, Astara, Azerbaijan",38.4623553,48.875027,994102500069,info@mandarinn.az,https://mandarinnart.az/,1505498911,,APPROVED,64622db29bff11407fb6987c,,No,,Şəhər Hoteli,TIMS,,,1C,website_scan,1C,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230515170346t-r0000125404,2023-05-15T13:03:46.836Z,2025-04-29T11:56:56.486Z
Maricel,Maricel,Astara,"Astara, Azerbaijan",38.4687834,48.8728029,994512016701,sales@maricel.az,https://maricelresort.az/ru/,1305211241,,APPROVED,643e56e0c7a6a5b6924fe42a,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230418123752t-r0000173668,2023-04-18T08:37:52.796Z,2025-04-29T11:56:56.486Z
Sahil istirahət mərkəzi,Sahil istirahət mərkəzi,Astara,"Sahil Restoran & Apartments, Astara, Azerbaijan",38.4760671,48.8766537,994504601406,azadmikayilov@mail.rug,,3700173362,,APPROVED,667e6889fc166e6e14e9ef49,,No,,"Kottec tipli yerləşmə vasitələri (Kottec, dağ evi, bungalov, chalet)",TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240628113849t-r0000189222,2024-06-28T07:38:49.939Z,2025-04-29T11:56:56.486Z
Shindan,Shindan,Astara,"Shindan Hotel, Heydər Əliyev, Astara, Azerbaijan",38.4486524,48.8749253,994502022494,shindanfom@gmail.com,https://shindanhotel.az/#,3701805001,,APPROVED,64df66ebc29cd31ed9785418,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230818164115t-r0000178695,2023-08-18T12:41:15.806Z,2025-04-29T11:56:56.486Z
Ümüd Hostel,Ümüd Hostel,Astara,"Ümüd Kafe Ailəvi İstirahət Mərkəzi, M3, Telman, Azerbaijan",38.6301859,48.8040829,994506157024,umudmotel@mail.ru,,3700117642,,APPROVED,666bffd0e4f5ddcab3cdf5c1,,No,,Hostel,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240614123112t-r0000148619,2024-06-14T08:31:12.911Z,2025-04-29T11:56:56.486Z
Gənclik otel,Gənclik otel,Ağcabədi,"Genclik Kafesi, Agjabedi, Azerbaijan",40.0514,47.4600492,994507227416,mr.iftixar.025@mail.ru,,3400261682,,APPROVED,65f40e24e4f5ddcab3cd8f6d,,No,,Hostel,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240315130020t-r0000195191,2024-03-15T09:00:20.625Z,2025-04-29T11:56:56.486Z
Mehmanxana,Mehmanxana,Ağcabədi,"126 Heydər Əliyev Prospekti, Ağcabədi, Azerbaijan",40.0422833,47.4555756,994504605759,ibrahimovarif51@gmail.com,,3401553462,,APPROVED,6603c97d646cbbbc8595eb23,,No,,Hostel,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20231025115547t-r0000184948,2024-03-27T07:23:41.824Z,2025-04-29T11:56:56.486Z
QARABAG,QARABAG,Ağcabədi,"Ağcabedi Rayonu, Azerbaijan",40.0529597,47.4553529,994504626243,esedemi@mail.ru,,3400758882,,APPROVED,650c0a60c29cd31ed978612b,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230921131824t-r0000171604,2023-09-21T09:18:24.256Z,2025-04-29T11:56:56.486Z
ROYAL&XAN PALACE OTEL,ROYAL&XAN PALACE OTEL,Ağcabədi,"Ağcabədi, Azerbaijan",40.0529597,47.4553529,994503543054,royalxan.palace@gmail.com,,3400044782,,APPROVED,6528ecc714f58db1e98d302d,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20231002162255t-r0000108070,2023-10-13T07:07:51.449Z,2025-04-29T11:56:56.486Z
Versal Otel,Versal Otel,Ağcabədi,"İsmət Qayıbov Küçəsi, Agjabedi, Azerbaijan",40.0349014,47.4438463,994516214325,ofis.vmx@mail.ru,,3402057382,,APPROVED,6538c396c29cd31ed97873bf,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20231025112822t-r0000176892,2023-10-25T07:28:22.586Z,2025-04-29T11:56:56.486Z
Kamp Hotel,Kamp Hotel,Ağdam,"Ağdam konfrans mərkəzi, Aghdam, Azerbaijan",39.9876647,46.9182311,994506173641,aygun.veliyeva@kbt.az,,3201620432,,APPROVED,66c5e505920d986c24775ed3,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240821170053t-r0000111487,2024-08-21T13:00:53.844Z,2025-04-29T11:56:56.486Z
Ağdaş Motel,Ağdaş Motel,Ağdaş,"Ağdaş, Azerbaijan",40.6335427,47.467431,994514850440,zamanovrasul30@gmail.com,,3300962082,,APPROVED,6543511bc29cd31ed9787b46,,No,,Qonaq evi,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20231102113450t-r0000149294,2023-11-02T07:34:51.724Z,2025-04-29T11:56:56.486Z
Ağdaş OİK,Ağdaş OİK,Ağdaş,"Ağdaş, Azerbaijan",40.6335427,47.467431,994515313765,agdasoik@mail.ru,,3300268711,,APPROVED,6620cb20e4f5ddcab3cdbed8,,No,,Qonaq evi,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240418112624t-r0000189002,2024-04-18T07:26:24.165Z,2025-04-29T11:56:56.486Z
Moskva Otel,Moskva Otel,Ağdaş,"Ağdaş, Azerbaijan",40.6335427,47.467431,994554220212,elekberov.zeka@mail.ru,,3300702342,,APPROVED,65435f90c29cd31ed9787b71,,No,,Qonaq evi,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20231102123632t-r0000128940,2023-11-02T08:36:32.168Z,2025-04-29T11:56:56.486Z
Riverside Hotel,Riverside Hotel,Ağdərə,"Ağdərə, Azerbaijan",40.211601,46.8237055,+994503647339,riversidehotelagdere@gmail.com,,2008018321,4,APPROVED,694e379b10f944d56cfcc7ed,,No,,,TIMS + azeritour.az,https://azeritour.az/hotel_river_side,"River Side Hotel — это четырехзвездочный отель, который расположился на берегу реки Кура. На расстоянии всего 1 км от города Мингечевир. Отель был построен и сдан в эксплуатацию в 2007 году, в прекрасном сочетании современного стиля. Общая площадь гостиницы занимает 6608 кв.м, и предлагаем своим гостям высокое качество сервиса и теплый прием. На территории отеля есть все необходимое для комфортного пребывания и отдыха. Рестораны и бары, фитнес центр, бассейн, массаж, спорт зал и многое другое.",,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20251226112203t-r0000102600,2025-12-26T07:22:03.402Z,2026-01-16T14:30:45.693Z
Ağstafa otel,Ağstafa otel,Ağstafa,"Ağstafa, Azerbaijan",41.1124969,45.447689,994503633261,agstafaotel@mail.ru,https://www.agstafaotel.az,3600106212,,APPROVED,65a63eeeac6a950c2ed2055e,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240116123142t-r0000117677,2024-01-16T08:31:42.947Z,2025-04-29T11:56:56.486Z
Limon Otel,Limon Otel,Ağstafa,"Ağstafa, Azerbaijan",41.1124969,45.447689,994552170717,qehremanovilkin015@gmail.com,https://www.Limonotel.az,3600273112,,APPROVED,65a51985ac6a950c2ed204ad,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240115153949t-r0000101575,2024-01-15T11:39:49.540Z,2025-04-29T11:56:56.486Z
Mədinə hotel,Mədinə hotel,Ağstafa,"Ağstafa, Azerbaijan",41.1124969,45.447689,994504650003,vusal.ibrahimov821@gmail.com,https://www.medineotel.az,3600108051,,APPROVED,65a67798ac6a950c2ed2067d,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240116163328t-r0000103552,2024-01-16T12:33:28.557Z,2025-04-29T11:56:56.486Z
Nəsiboğlu hotel,Nəsiboğlu hotel,Ağstafa,"Ağstafa Rayonu, Azerbaijan",41.2655933,45.5134291,994558207080,www.anar666.12@mail.ru,https://www.nəsibogluotel.az,3600108201,,APPROVED,65a4f493ac6a950c2ed20497,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240115130211t-r0000136248,2024-01-15T09:02:11.427Z,2025-04-29T11:56:56.486Z
Qərb otel,Qərb otel,Ağstafa,"Ağstafa, Azerbaijan",41.1124969,45.447689,994503927292,Qerbotel@gmail.com,https://www.Qerbotel.az,3600720432,,APPROVED,65af54bbac6a950c2ed20a2e,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240123095507t-r0000199606,2024-01-23T05:55:07.387Z,2025-04-29T11:56:56.486Z
Ağsu Mehmanxanası,Ağsu Mehmanxanası,Ağsu,"Ağsu Şəhəri, Agsu, Azerbaijan",40.579943,48.4090219,994505257876,agsumehmanxanasi@gmail.com,,3500065481,,APPROVED,6641b7b9e4f5ddcab3cdded3,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240513104825t-r0000114787,2024-05-13T06:48:25.785Z,2025-04-29T11:56:56.486Z
Ağsu hotel restaran,Ağsu hotel restaran,Ağsu,"Agsu, Azerbaijan",40.5742298,48.3896404,994503885525,kamilisgenderli01@gmail.com,,3501326502,,APPROVED,6720c6442dfbbc7a1411be6a,,No,,Qonaq evi,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20241029152556t-r0000191472,2024-10-29T11:25:56.764Z,2025-04-29T11:56:56.486Z
"""ATROPAT TURİZM""","""ATROPAT TURİZM""",Baku,"Icherisheher, Baku, Azerbaijan",40.366267,49.8349644,994702978950,info@atropathotel.com,,1702325561,4,APPROVED,64c359a414f58db1e987f1a4,,No,,,TIMS + azeritour.az,https://azeritour.az/atropat_otel,Карта сайта,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230510164038t-r0000130684,2023-07-28T06:01:08.662Z,2025-04-29T11:56:56.486Z
"""BOUTIQUE HOTEL BAKU"" Məhdud Məsuliyyətli Cəmiyyəti","""BOUTIQUE HOTEL BAKU"" Məhdud Məsuliyyətli Cəmiyyəti",Baku,"Əlövsət Quliyev, Baku, Azerbaijan",40.372336,49.8306561,994124930101,management@boutiquehotelbaku.com,https://boutiquehotelbaku.com/,1803070841,,APPROVED,658427cf7baef8a6eec3037a,,No,,Butik Hotel,TIMS,,,1C,website_scan,1C,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230515170057t-r0000132071,2023-12-21T11:55:59.387Z,2025-04-29T11:56:56.486Z
"""Diamond Hotel Baku""","""Diamond Hotel Baku""",Baku,"191a Əhməd Rəcəbli, Baku, Azerbaijan",40.4113292,49.861539,994124047788,generalmanager@diamondhotel.az,https://diamondhotel.az/,1902116522,,APPROVED,64d60d96c29cd31ed978517a,,No,,,TIMS,,,1C,website_scan,1C,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230811142942t-r0000155950,2023-08-11T10:29:42.757Z,2025-04-29T11:56:56.486Z
"""Diamond Hotel Baku""","""Diamond Hotel Baku""",Baku,"191a Əhməd Rəcəbli, Baku, Azerbaijan",40.4113292,49.861539,994124044488,generalmanager@diamondhotel.az,https://diamondhotel.az/,1701927502,,APPROVED,64c8a2a2c29cd31ed97848b7,,No,,,TIMS,,,1C,website_scan,1C,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230801101354t-r0000110760,2023-08-01T06:13:54.582Z,2025-04-29T11:56:56.486Z
"""TAHA GROUP99"" MMC","""TAHA GROUP99"" MMC",Baku,"33 Əziz Əliyev küçəsi, Bakı, Azerbaijan",40.3681802,49.837316,994552066436,aydin--a@hotmail.com,,1703338511,,APPROVED,64c781e4c29cd31ed9784436,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230731134156t-r0000186883,2023-07-31T09:41:56.212Z,2025-04-29T11:56:56.486Z
AEF HOTEL,AEF HOTEL,Baku,"Badamdar, Baku, Azerbaijan",40.332126,49.8039807,994125020103,humayagayevar@gmail.com,,2001505872,,APPROVED,64c6422ac29cd31ed9783ff8,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230730145746t-r0000113250,2023-07-30T10:57:46.861Z,2025-04-29T11:56:56.486Z
AEF HOTEL,AEF HOTEL,Baku,"Badamdar, Baku, Azerbaijan",40.332126,49.8039807,994125020103,AEFhostel@gmail.com,,1007035172,,APPROVED,64627aa09bff11407fb69b3d,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230515223200t-r0000143860,2023-05-15T18:32:00.330Z,2025-04-29T11:56:56.486Z
AF CİTY HOTEL,AF CİTY HOTEL,Baku,"Nasimi, Baku, Azerbaijan",40.3925716,49.8315374,994555828284,valeh_ceferov@hotmail.com,,1904708721,,APPROVED,64c399a4c29cd31ed9783c2b,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230728143411t-r0000117391,2023-07-28T10:34:12.026Z,2025-04-29T11:56:56.486Z
AKSENT HOTEL,AKSENT HOTEL,Baku,"Bakı, Azerbaijan",40.40926169999999,49.8670924,994125950604,info@aksenthotel.az,,1500857762,,APPROVED,660bebe6e4f5ddcab3cda42e,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240402152838t-r0000188031,2024-04-02T11:28:38.478Z,2025-04-29T11:56:56.486Z
ALBA HOTEL,ALBA HOTEL,Baku,"3 Əhməd Rəcəbli, Bakı, Azerbaijan",40.4026246,49.866527,994552296945,consulting.ab.group@gmail.com,,1505390651,,APPROVED,64c3ad52c29cd31ed9783d46,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230728155809t-r0000185006,2023-07-28T11:58:10.147Z,2025-04-29T11:56:56.486Z
ALP inn,ALP inn,Baku,"82b Həsən Əliyev Küçəsi, Nərimanov, Baku, Azerbaijan",40.4016778,49.8471389,994124655222,infoalpinnhotel@yandex.ru,,1500081321,4,APPROVED,65df1dd7e4f5ddcab3cd7afb,,No,,,TIMS + azeritour.az + azeritour.az,https://azeritour.az/alp_inn_hotel,Карта сайта,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240228154943t-r0000169467,2024-02-28T11:49:43.682Z,2025-04-29T11:56:56.486Z
ALTUS HOTEL,ALTUS HOTEL,Baku,"Altus Hotel, Ahmad Rajabli, Baku, Azerbaijan",40.4097949,49.8615061,994552457844,Sarxan_Rasulov@mail.ru,,1405726361,,APPROVED,66058171e4f5ddcab3cd9e33,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240328184048t-r0000109867,2024-03-28T14:40:49.506Z,2025-04-29T11:56:56.486Z
AMMAR GRAND HOTEL,AMMAR GRAND HOTEL,Baku,"27v Əhməd Rəcəbli, Bakı, Azerbaijan",40.4117637,49.8604751,994552526239,consulting.ab.group@gmail.com,,1506004251,,APPROVED,64c3a58dc29cd31ed9783cc5,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230728152501t-r0000155894,2023-07-28T11:25:01.966Z,2025-04-29T11:56:56.486Z
ARENA HALL,ARENA HALL,Baku,"Abu Arena Hotel, Koroglu Rahimov Street, Baku, Azerbaijan",40.3989447,49.85871299999999,994553464750,abuarena.hotel@gmail.com,,1800728852,,APPROVED,65dda4cfe4f5ddcab3cd77ef,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240227130102t-r0000153563,2024-02-27T09:01:03.454Z,2025-04-29T11:56:56.486Z
ARMADA VİLLA HOTEL,ARMADA VİLLA HOTEL,Baku,"Armada Villa Hotel, təcridxana yolu, Baku, Azerbaijan",40.48245199999999,49.946316,994515232323,armadavillahotel@gmail.com,,2700604722,,APPROVED,65f8a0fde4f5ddcab3cd96ac,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240319001557t-r0000129162,2024-03-18T20:15:57.221Z,2025-04-29T11:56:56.486Z
ART Gallery Hotel,ART Gallery Hotel,Baku,"105 Neftçilər Prospekti, Baku, Azerbaijan",40.3706221,49.8464481,+994512017471,infoart@absheronhotelgroup.com,,1701839411,,APPROVED,6981d6cd5a739acd753ceb8f,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20260219095949t-r0000170892,2026-02-03T11:06:53.183Z,2026-02-19T06:15:20.966Z
ART HOTEL,ART HOTEL,Baku,"Mirəli Seyidov, Baku, Azerbaijan",40.3783834,49.8074816,994552441101,cemsid.abdullazade@mail.ru,,7501036432,,APPROVED,65e03c4ae4f5ddcab3cd7cb8,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240229121154t-r0000177588,2024-02-29T08:11:54.175Z,2025-04-29T11:56:56.486Z
ARİON OTEL,ARİON OTEL,Baku,"40.4122441,49.85897",40.4127441,49.858947,994505151575,arion.hotelbaku@gmail.com,,7200108882,,APPROVED,64671e70e1dabc1a3a62b3d2,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230519110000t-r0000142470,2023-05-19T07:00:00.909Z,2025-04-29T11:56:56.486Z
ASTOLA HOTEL,ASTOLA HOTEL,Baku,"Baku, Azerbaijan",40.40926169999999,49.8670924,994702707170,ayxanagayev1989@gmail.com,,6700622142,,APPROVED,65df22fce4f5ddcab3cd7b42,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240228161140t-r0000147088,2024-02-28T12:11:40.314Z,2025-04-29T11:56:56.486Z
ASTORİA HOTEL,ASTORİA HOTEL,Baku,"65 Babək Prospekti, Bakı, Azərbaycan",40.3938823,49.92979769999999,994124224949,astoriaotelbaku@gmail.com,,1900970982,,APPROVED,65f03022e4f5ddcab3cd8605,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240312143618t-r0000138805,2024-03-12T10:36:18.459Z,2025-04-29T11:56:56.486Z
ATFK Hotel,ATFK Hotel,Baku,"ATFK Hotel, Baku, Azerbaijan",40.4114467,49.8537422,994553227766,afsarakha@gmail.com,,1405053671,,APPROVED,65efe226e4f5ddcab3cd8424,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240312090334t-r0000122556,2024-03-12T05:03:34.645Z,2025-04-29T11:56:56.486Z
AVAND HOTEL,AVAND HOTEL,Baku,"30d Eldar Tağızadə küçəsi, Baku, Azerbaijan",40.3865645,49.8474716,994552224935,cemsid.abdullazade@mail.ru,,1306992562,3,APPROVED,65e0425ae4f5ddcab3cd7d12,,No,,,TIMS + azeritour.az,https://azeritour.az/avand_hotel_baku,"Avand Hotel — отель, который расположен рядом от нового выхода станции метро «28 мая». Если гости нашего города не знают, то отель находится в 15 минутах ходьбы от Приморского парка и достопримечательностей Баку. Пройдясь пешком по Баку вам откроются исторические памятники города. Девичья Башня , Дворец Ширваншахов , Ичери Шехер (Старый город). Вам не придется скучать, так как можно отлично провести время с друзьями или с семьей просто прогуливаясь по городу.",,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240229123746t-r0000108439,2024-02-29T08:37:46.867Z,2025-04-29T11:56:56.486Z
AVENUE OTEL,AVENUE OTEL,Baku,"1029 Heydər Əliyev prospekti, Baku, Azerbaijan",40.4142434,49.9036581,994125057273,reservation.avenuehotel@gmail.com,,2905480681,,APPROVED,6448ca716506cef40b9db380,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230426105337t-r0000114425,2023-04-26T06:53:37.128Z,2025-04-29T11:56:56.486Z
AY HOTEL,AY HOTEL,Baku,"Nar & Şərab, Namiq Quliyev, Baku, Azerbaijan",40.3049313,49.8246664,994507517242,hotelay571@gmail.com,,1502880742,,APPROVED,65f04a31e4f5ddcab3cd86a9,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240312162729t-r0000112220,2024-03-12T12:27:29.189Z,2025-04-29T11:56:56.486Z
AYF Palace Hotel,AYF Palace Hotel,Baku,"AYF Palace, Baku, Azerbaijan",40.3902437,49.86050609999999,+994551006993,office@ayf-palacehotel.com,https://ayf-palacehotel.com/,0201658352,,APPROVED,6971ffde70a9384c4927b480,,No,,,TIMS,,,1C,website_scan,1C,https://data.tourism.gov.az/proxy/stakeholder/getFile/20260122144550t-r0000176437,2026-01-22T10:45:50.412Z,2026-01-26T07:12:21.205Z
"AYSBERQ OTEL ,RESTORAN VƏ İCARƏ OBYEKTİ","AYSBERQ OTEL ,RESTORAN VƏ İCARƏ OBYEKTİ",Baku,"Salyan şossesi, Azerbaijan",40.2058559,49.5312405,994125650745,info@aysberq.az,,1500387481,,APPROVED,65f41e28e4f5ddcab3cd8fc4,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240315140839t-r0000196067,2024-03-15T10:08:40.935Z,2025-04-29T11:56:56.486Z
