match_status,search_query,voen,tax_name,tax_legal_address,tax_legitimate,tax_legal_form,tax_charter_capital,tax_voen_registered_at,tax_state_registered_at,tax_status,tax_active,tax_vat_payer,tax_risky_payer,tax_debt,tax_authority,tax_organization_type,donor_sectors,donor_ids,donor_search_names,donor_names,donor_cities,donor_addresses,donor_phones,donor_emails,donor_websites,donor_voens,donor_categories,donor_extra_json,tax_extract_date,tax_financial_year_start,tax_financial_year_end,tax_sanctions,tax_raw_json
no_tax_match,Ümüd Hostel | Ümüd-Hostel | Hostel | Ümüd,3700117642,,,,,,,,,,,,,,,hotels,hotel-17,Ümüd Hostel,,Astara,"Ümüd Kafe Ailəvi İstirahət Mərkəzi, M3, Telman, Azerbaijan",994506157024,umudmotel@mail.ru,,3700117642,Hostel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Gənclik otel | Gənclik-otel | Gənclik | otel,3400261682,,,,,,,,,,,,,,,hotels,hotel-18,Gənclik otel,,Ağcabədi,"Genclik Kafesi, Agjabedi, Azerbaijan",994507227416,mr.iftixar.025@mail.ru,,3400261682,Hostel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,ROYAL&XAN PALACE OTEL | ROYAL&XAN-PALACE-OTEL | ROYALXAN | PALACE | ROYALXAN PALACE | ROYALXAN-PALACE | OTEL,3400044782,,,,,,,,,,,,,,,hotels,hotel-21,ROYAL&XAN PALACE OTEL,,Ağcabədi,"Ağcabədi, Azerbaijan",994503543054,royalxan.palace@gmail.com,,3400044782,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Versal Otel | Versal otel | Versal-Otel-|-Versal-otel | Versal | Versal Versal | Versal-Versal | Otel,3402057382 | 4900522172,,,,,,,,,,,,,,,hotels,hotel-22 | hotel-348,Versal Otel | Versal otel,,Ağcabədi | Daşkəsən,"İsmət Qayıbov Küçəsi, Agjabedi, Azerbaijan | Daşkəsən rayonu, Azerbaijan",994516214325 | 994708705656,ofis.vmx@mail.ru | Versalotel@mail.ru,https://www.Versalotel.az,3402057382 | 4900522172,Şəhər Hoteli,"{""merged_records"":[{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""},{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}]}",,,,,
no_tax_match,Ağdaş Motel | Ağdaş-Motel | Ağdaş | Motel,3300962082,,,,,,,,,,,,,,,hotels,hotel-24,Ağdaş Motel,,Ağdaş,"Ağdaş, Azerbaijan",994514850440,zamanovrasul30@gmail.com,,3300962082,Qonaq evi,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Moskva Otel | Moskva-Otel | Moskva | Otel,3300702342,,,,,,,,,,,,,,,hotels,hotel-26,Moskva Otel,,Ağdaş,"Ağdaş, Azerbaijan",994554220212,elekberov.zeka@mail.ru,,3300702342,Qonaq evi,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Ağstafa otel | Ağstafa-otel | Ağstafa | otel,3600106212,,,,,,,,,,,,,,,hotels,hotel-28,Ağstafa otel,,Ağstafa,"Ağstafa, Azerbaijan",994503633261,agstafaotel@mail.ru,https://www.agstafaotel.az,3600106212,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Limon Otel | Limon-Otel | Limon | Otel,3600273112,,,,,,,,,,,,,,,hotels,hotel-29,Limon Otel,,Ağstafa,"Ağstafa, Azerbaijan",994552170717,qehremanovilkin015@gmail.com,https://www.Limonotel.az,3600273112,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Qərb otel | Qərb-otel | Qərb | otel,3600720432,,,,,,,,,,,,,,,hotels,hotel-32,Qərb otel,,Ağstafa,"Ağstafa, Azerbaijan",994503927292,Qerbotel@gmail.com,https://www.Qerbotel.az,3600720432,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Ağsu hotel restaran | Ağsu-hotel-restaran | restaran | Ağsu | Ağsu restaran | Ağsu-restaran | hotel,3501326502,,,,,,,,,,,,,,,hotels,hotel-34,Ağsu hotel restaran,,Ağsu,"Agsu, Azerbaijan",994503885525,kamilisgenderli01@gmail.com,,3501326502,Qonaq evi,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,AEF HOTEL | AEF-HOTEL | AEF | HOTEL,2001505872 | 1007035172,,,,,,,,,,,,,,,hotels,hotel-40 | hotel-41,AEF HOTEL,,Baku,"Badamdar, Baku, Azerbaijan",994125020103,humayagayevar@gmail.com | AEFhostel@gmail.com,,2001505872 | 1007035172,Şəhər Hoteli,"{""merged_records"":[{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""},{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}]}",,,,,
no_tax_match,AKSENT HOTEL | AKSENT-HOTEL | AKSENT | HOTEL,1500857762,,,,,,,,,,,,,,,hotels,hotel-43,AKSENT HOTEL,,Baku,"Bakı, Azerbaijan",994125950604,info@aksenthotel.az,,1500857762,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,ARENA HALL | ARENA-HALL | ARENA | HALL,1800728852,,,,,,,,,,,,,,,hotels,hotel-48,ARENA HALL,,Baku,"Abu Arena Hotel, Koroglu Rahimov Street, Baku, Azerbaijan",994553464750,abuarena.hotel@gmail.com,,1800728852,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,ARMADA VİLLA HOTEL | ARMADA-VİLLA-HOTEL | ARMADA | VİLLA | ARMADA VİLLA | ARMADA-VİLLA | HOTEL,2700604722,,,,,,,,,,,,,,,hotels,hotel-49,ARMADA VİLLA HOTEL,,Baku,"Armada Villa Hotel, təcridxana yolu, Baku, Azerbaijan",994515232323,armadavillahotel@gmail.com,,2700604722,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,ARİON OTEL | ARİON-OTEL | ARİON | OTEL,7200108882,,,,,,,,,,,,,,,hotels,hotel-52,ARİON OTEL,,Baku,"40.4122441,49.85897",994505151575,arion.hotelbaku@gmail.com,,7200108882,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,ASTOLA HOTEL | ASTOLA-HOTEL | ASTOLA | HOTEL,6700622142,,,,,,,,,,,,,,,hotels,hotel-53,ASTOLA HOTEL,,Baku,"Baku, Azerbaijan",994702707170,ayxanagayev1989@gmail.com,,6700622142,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,ASTORİA HOTEL | ASTORİA-HOTEL | ASTORİA | HOTEL,1900970982,,,,,,,,,,,,,,,hotels,hotel-54,ASTORİA HOTEL,,Baku,"65 Babək Prospekti, Bakı, Azərbaycan",994124224949,astoriaotelbaku@gmail.com,,1900970982,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,AVAND HOTEL | AVAND-HOTEL | AVAND | HOTEL,1306992562,,,,,,,,,,,,,,,hotels,hotel-56,AVAND HOTEL,,Baku,"30d Eldar Tağızadə küçəsi, Baku, Azerbaijan",994552224935,cemsid.abdullazade@mail.ru,,1306992562,,"{""stars_grade"":""3"",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS + azeritour.az""}",,,,,
no_tax_match,AYF Palace Hotel | AYF-Palace-Hotel | Palace | AYF | AYF Palace | AYF-Palace | Hotel,0201658352,,,,,,,,,,,,,,,hotels,hotel-59,AYF Palace Hotel,,Baku,"AYF Palace, Baku, Azerbaijan",+994551006993,office@ayf-palacehotel.com,https://ayf-palacehotel.com/,0201658352,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":""1C"",""sources"":""TIMS""}",,,,,
no_tax_match,Alfa Hotel | Alfa-Hotel | Alfa | Hotel,1008259452,,,,,,,,,,,,,,,hotels,hotel-66,Alfa Hotel,,Baku,"Xəqani Rüstəmov, Bakı, Azerbaijan",994508225060,ibrahim.alkishiyev@gmail.com,,1008259452,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Amber Hotel | Amber-Hotel | Amber | Hotel,1403446602,,,,,,,,,,,,,,,hotels,hotel-69,Amber Hotel,,Baku,"59 Abilov M.M. Street, Baku, Azerbaijan",994507583131,sales@amberhotel.az,http://amberhotel.az,1403446602,,"{""stars_grade"":""4"",""tims_status"":""APPROVED"",""pms_detected"":""1C"",""sources"":""TIMS + azeritour.az""}",,,,,
no_tax_match,Anatolia Hotel Baku | Anatolia-Hotel-Baku | Anatolia | Hotel | Baku,2907388892,,,,,,,,,,,,,,,hotels,hotel-70,Anatolia Hotel Baku,,Baku,"Yusif Vezir Çemenzemenli, Baku, Baku, Azerbaijan",994707875050,ellmondbaku@gmail.com,,2907388892,,"{""stars_grade"":""4"",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS + azeritour.az""}",,,,,
no_tax_match,Antiq Hotel | Antiq-Hotel | Antiq | Hotel,1505548892,,,,,,,,,,,,,,,hotels,hotel-71,Antiq Hotel,,Baku,"İçeri Şehir, Baku, Azerbaijan",994558817234,elman.agaverdiyev@bk.ru,,1505548892,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Art Club | Art-Club | Club | Art,2004631172,,,,,,,,,,,,,,,hotels,hotel-72,Art Club,,Baku,"11 Asəf Zeynallı küçəsi, Baku, Azerbaijan",994124922013,gm@artclub.az,https://artclub.az/,2004631172,Butik Hotel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":""1C"",""sources"":""TIMS""}",,,,,
no_tax_match,Atlas Hotel Baku | Atlas-Hotel-Baku | Atlas | Hotel | Baku,1502757882,,,,,,,,,,,,,,,hotels,hotel-73,Atlas Hotel Baku,,Baku,"Baku, Azerbaijan",994125253333,Sales@atlashotelbaku.com,,1502757882,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,AuRoom Hotel | AuRoom-Hotel | AuRoom | Hotel,8301940252,,,,,,,,,,,,,,,hotels,hotel-74,AuRoom Hotel,,Baku,"Allahyar Nasibov, Baku, Azerbaijan",994705955328,info@auroomhotel.az,https://auroomhotel.az,8301940252,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":""1C"",""sources"":""TIMS""}",,,,,
no_tax_match,BADAMDAR HOSTEL | BADAMDAR-HOSTEL | BADAMDAR | HOSTEL,1302291442,,,,,,,,,,,,,,,hotels,hotel-77,BADAMDAR HOSTEL,,Baku,"Baku, Azerbaijan",994125020816,ulvin.mammadov@gmail.com,,1302291442,Hostel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,BAKU SEA VIEW | BAKU-SEA-VIEW | VIEW | SEA | SEA VIEW | SEA-VIEW | BAKU,1300312772,,,,,,,,,,,,,,,hotels,hotel-78,BAKU SEA VIEW,,Baku,"Həsən Seyidbəyli, Bakı, Azerbaijan",994503115551,teymur.amirov@hotmail.com,,1300312772,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,BEST Otel | BEST-Otel | BEST | Otel,1901276442,,,,,,,,,,,,,,,hotels,hotel-80,BEST Otel,,Baku,"Salamzadeh street (My Family ), Abdulvabah Salamzada, Baku, Azerbaijan",994552363689,azikmaq@mail.ru,,1901276442,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,BLACK VİLLA HOTEL | BLACK-VİLLA-HOTEL | BLACK | VİLLA | BLACK VİLLA | BLACK-VİLLA | HOTEL,1201172912,,,,,,,,,,,,,,,hotels,hotel-82,BLACK VİLLA HOTEL,,Baku,"9W4X+8V8 Bakı, Azerbaijan",994514102221,kamraneskerov@icloud.com,,1201172912,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,BULVAR INN HOTEL | BULVAR-INN-HOTEL | BULVAR | INN | BULVAR INN | BULVAR-INN | HOTEL,3103895852,,,,,,,,,,,,,,,hotels,hotel-84,BULVAR INN HOTEL,,Baku,"Port Baku Residence, Uzeyir Hajibeyov, Baku, Azerbaijan",994124981203,bulvarinn@gmail.com,Https://www.bulvarinnbaku.com,3103895852,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS + azeritour.az""}",,,,,
no_tax_match,Baku Butik Qonaq Evi | Baku-Butik-Qonaq-Evi | Butik | Qonaq | Evi | Butik Qonaq | Butik-Qonaq | Butik Evi,1100414482,,,,,,,,,,,,,,,hotels,hotel-87,Baku Butik Qonaq Evi,,Baku,"89 Dadaş Bünyadzadə küçəsi, Yasamal, Bakı, Azərbaycan",994773480060,bakubutik@gmail.com,,1100414482,Hostel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Baku Palace Hotel | Baku-Palace-Hotel | Palace | Baku | Hotel,1100974322,,,,,,,,,,,,,,,hotels,hotel-89,Baku Palace Hotel,,Baku,"Ev, İslam Səfərli, Baku, Azerbaijan",994125961071,info@sevengroup.az,,1100974322,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Bakuvi Apartments | Bakuvi-Apartments | Apartments | Bakuvi,1601173742,,,,,,,,,,,,,,,hotels,hotel-90,Bakuvi Apartments,,Baku,"Bakuvi Apartments, Azerbaijan Avenue, Baku, Azerbaijan",994557901777,Bakuvi.azerbaijan@gmail.com,,1601173742,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Bayıl Breeze hotel&restaurant | Bayıl-Breeze-hotel&restaurant | hotelrestaurant | Breeze | Bayıl | Bayıl Breeze | Bayıl-Breeze | Bayıl hotelrestaurant,2007618532,,,,,,,,,,,,,,,hotels,hotel-91,Bayıl Breeze hotel&restaurant,,Baku,"Bakı, Azerbaijan",994504445695,fhconsulting21@gmail.com,,2007618532,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Boulevard Side Hotel | Boulevard-Side-Hotel | Boulevard | Side | Boulevard Side | Boulevard-Side | Hotel,2003849462,,,,,,,,,,,,,,,hotels,hotel-92,Boulevard Side Hotel,,Baku,"3 Ayaz Ismayilov Street, Baku, Azerbaijan",994124906790,info@boulevardsidehotel.az,,2003849462,Şəhər Hoteli,"{""stars_grade"":""5"",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS + azeritour.az""}",,,,,
no_tax_match,Bəy Hotel | Bəy-Hotel | Bəy | Hotel,2008854472,,,,,,,,,,,,,,,hotels,hotel-95,Bəy Hotel,,Baku,"52c Əhəd Yaqubov küçəsi, Baku, Azerbaijan",+994994055500,beyhotel@gmail.com,,2008854472,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,CENTİC BAKU BOUİTIQUE HOTEL | CENTİC-BAKU-BOUİTIQUE-HOTEL | BOUİTIQUE | CENTİC | CENTİC BOUİTIQUE | CENTİC-BOUİTIQUE | BAKU | HOTEL,1601858922,,,,,,,,,,,,,,,hotels,hotel-96,CENTİC BAKU BOUİTIQUE HOTEL,,Baku,"6 Zərifə Əliyeva Küçəsi, Bakı, Azerbaijan",994502555121,centricbaku@gmail.com,,1601858922,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,CITY APARTMENTS HOTEL | CITY-APARTMENTS-HOTEL | APARTMENTS | CITY | CITY APARTMENTS | CITY-APARTMENTS | HOTEL,1403647022,,,,,,,,,,,,,,,hotels,hotel-97,CITY APARTMENTS HOTEL,,Baku,"Ismayil Hidayat Zadeh, Baku, Azerbaijan",994705660002,Cityapartbaku@gmail.com,,1403647022,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,CONTİNENT HOTEL | CONTİNENT-HOTEL | CONTİNENT | HOTEL,7001510892,,,,,,,,,,,,,,,hotels,hotel-99,CONTİNENT HOTEL,,Baku,"Baku, Azerbaijan",994559545034,ayxanagayev1989@gmail.com,,7001510892,,"{""stars_grade"":""4"",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS + azeritour.az + azeritour.az""}",,,,,
no_tax_match,CONTİNENTAL HOTEL | CONTİNENTAL-HOTEL | CONTİNENTAL | HOTEL,1505859312,,,,,,,,,,,,,,,hotels,hotel-100,CONTİNENTAL HOTEL,,Baku,"Əhməd Rəcəbli, Binəqədi, Baku, Azerbaijan",994557096363,aysenmuseyib@gmail.com,,1505859312,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Callisto Hotel | Callisto-Hotel | Callisto | Hotel,2008477742,,,,,,,,,,,,,,,hotels,hotel-103,Callisto Hotel,,Baku,"11 28 May Street, Bakı, Azərbaycan",994124930013,info@callistohotel.az,https://callistohotel.az/,2008477742,Butik Hotel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Capitol Hotel Baku | Capitol-Hotel-Baku | Capitol | Hotel | Baku,2003583362,,,,,,,,,,,,,,,hotels,hotel-104,Capitol Hotel Baku,,Baku,"Astola Hotel, Baku, Azerbaijan",994125642924,info@capitolhotel.az,https://www.capitolhotel.az/,2003583362,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS + azeritour.az""}",,,,,
no_tax_match,Citadel boutique hotel | Citadel-boutique-hotel | boutique | Citadel | Citadel boutique | Citadel-boutique | hotel,1502390692,,,,,,,,,,,,,,,hotels,hotel-106,Citadel boutique hotel,,Baku,"153 Lev Tolstoy, Baku, Azerbaijan",994773470504,redleon133@gmail.com,,1502390692,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,City Park Hotel Baku | City-Park-Hotel-Baku | City | Park | City Park | City-Park | Hotel | Baku,1504573772,,,,,,,,,,,,,,,hotels,hotel-108,City Park Hotel Baku,,Baku,"31B Tabriz Xaili Rza Oghlu, Bakı 1009, Azerbaijan",994555559495,info@cityparkhotelbaku.az,,1504573772,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Co Pilot Hotel | Co-Pilot-Hotel | Pilot | Hotel,1102776132,,,,,,,,,,,,,,,hotels,hotel-112,Co Pilot Hotel,,Baku,"İslam Səfərli, Baku, Azerbaijan",994506525373,copilothotel@gmail.com,,1102776132,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,CİNEMA PLAZA HOTEL | CİNEMA-PLAZA-HOTEL | CİNEMA | PLAZA | CİNEMA PLAZA | CİNEMA-PLAZA | HOTEL,1502370792,,,,,,,,,,,,,,,hotels,hotel-116,CİNEMA PLAZA HOTEL,,Baku,"Bakı, Azerbaijan",994702987818,RUSTAMOVA367@GMAIL.COM,,1502370792,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,DA VİNCİ HOTEL | DA-VİNCİ-HOTEL | VİNCİ | HOTEL,6701092822,,,,,,,,,,,,,,,hotels,hotel-117,DA VİNCİ HOTEL,,Baku,"Veli Memmedov, Baku, Azerbaijan",994123103550,info@davincihotel.az,https://davincihotel.az/,6701092822,Butik Hotel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":""1C"",""sources"":""TIMS""}",,,,,
no_tax_match,DAYS HOTEL BAKU | DAYS-HOTEL-BAKU | DAYS | HOTEL | BAKU,1402105982,,,,,,,,,,,,,,,hotels,hotel-118,DAYS HOTEL BAKU,,Baku,"28k Babək Prospekti, Baku, Azerbaijan",994123102720,namiq.aliyevcityhotels@gmail.com,https://bakudayshotel.com/,1402105982,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":""1C"",""sources"":""TIMS + azeritour.az""}",,,,,
no_tax_match,Damla Hotel Baku | Damla-Hotel-Baku | Damla | Hotel | Baku,2001151702,,,,,,,,,,,,,,,hotels,hotel-120,Damla Hotel Baku,,Baku,"2949 Ramiz Quliyev, Baku, Azerbaijan",994503736736,damla_hotel@mail.ru,,2001151702,Şəhər Hoteli,"{""stars_grade"":""4"",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS + azeritour.az""}",,,,,
no_tax_match,Deniz Inn Hotel | Deniz-Inn-Hotel | Deniz | Inn | Deniz Inn | Deniz-Inn | Hotel,1802836982,,,,,,,,,,,,,,,hotels,hotel-122,Deniz Inn Hotel,,Baku,"Deniz Inn Boutique Hotel, Mirzə Şəfi Vazeh, Baku, Azerbaijan",994505246968,afsarakha@gmail.com,,1802836982,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
