code,kind,prikaz817,laterality,titleAz,titleRu,titleEn,titleLa,coarse,ta,fmaLabels,woAliases,boundary
ZONE-HAND-FOREARM,USSR-817,10,1,Əl və önqol,Кисть и предплечье,Hand and forearm,Manus et antebrachium,ARM_LEFT|ARM_RIGHT,Manus|Antebrachium,Hand|Forearm,əllər|eller|ellere|ovuc ici|elcek|əlcək|elller|elleri|el barmaq|əl barmaq|qollarin ic terefi|el barmaqlari|əl barmaqlari|el|əl|ellerin icine|ellerin içine|ellerein icine|ələrin içi|elerin ici|ovuclar|ovuclarin|eller ustune|əllər üstünə|əllərə|eline|əlinə|qollardan asagi|qollardan aşağı|əllərin içi|ellerin ici,"817 §10. Glove strings (əlcək, elcek) are aliases of this S, not a separate cut field."
ZONE-CHEST,USSR-817,11,0,Döş qəfəsi,Грудная клетка,Chest,Thorax,CHEST|BACK,Thorax,Thorax,sine|sinə|sinəyə|sineye|dos qefesi|döş qəfəsi|dos qefesinin|döş qəfəsinin|sud vezi|süd vəzi|sud vezinin altina|süd vəzinin altina|qabirga üstü|qabırğa üstü|qabirgaustu|doş qefesi|doş|dos|doş qefesində|döş qəfəsində|dos qefesine|urek|ürək|thorakal|torakal,Anterior chest from girdle to costal arches + back C7–L1 (817 §11).
ZONE-BACK,USSR-817,12,0,Kürək,Спина,Back,Dorsum,BACK,Dorsum,Back,kurek|kürəyə|kürək nahiyəsi|kürək bütöv|kürəyin yuxari hissəsi|kurem|kueye|kürəyin yuxari|küək|hurek|kureek|kürəjk|kürəkalti|kurekalti|kürək altı|kurrk|kureyine|kürəklərə|kürəyin|kureyin|krek|kurel|kürəy6ə|lotissimus dorsi|latissimus dorsi,C7–L1 between mid-axillary lines (817 §12). Not the full spine strip.
ZONE-ABDOMEN,USSR-817,13,0,Qarın,Передняя брюшная стенка,Anterior abdominal wall,Paries anterior abdominis,ABDOMEN,Paries abdominalis anterior,Anterior abdominal wall,qarin|qarın|qarina|qarinin|q1arin|gobek|göbək|gobeye|göbəyə,817 §13.
ZONE-LUMBOSACRAL,USSR-817,14,0,Bel-oma nahiyəsi,Пояснично-крестцовая область,Lumbosacral region,Regio lumbosacralis,BACK,Regio lumbalis|Regio sacralis,Lumbar region of back|Sacral region,beloma nahiyesine|bel oma|beloma|bel oma nahiyəsi|bel oma nahiyyesi|bel|lombal|lumbar|beloma nahiyyesi|bel nahiyesine|bel nahiyəsi|böyrəküstü|böyrək üstü|boyrekustu|boyrek ustu|böyrəküstü nahiyə|böyrək üstü nahiyə|bel omba|bei oma|belomba|bel olma|beol oma|bel olam|dumbek|dumbek nahiyesi|oma|neloma|meloma|sakrum|öyrəküstü|oyrekustu,L1 to inferior gluteal folds (817 §14). Segmental massage (817 §15) is the same site.
ZONE-BACK-AND-LUMBAR,USSR-817,16,0,Kürək və bel,Спина и поясница,Back and lumbar region,Dorsum et regio lumbalis,BACK,Dorsum|Regio lumbalis,Back|Lumbar region of back,kürək bel oma|kurekbel oma|kürəkbel oma|belinə və kürəynə,"C7 to sacral base, mid-axillary to mid-axillary (817 §16)."
ZONE-CERVICOTHORACIC,USSR-817,17,0,Boyun-döş onurğa,Шейно-грудной отдел позвоночника,Cervicothoracic spine,Columna vertebralis cervicalis et thoracica,NECK|BACK,Columna vertebralis,Vertebral column,,Posterior neck and back to L1 between posterior axillary lines (817 §17). §18 segmental = same site.
ZONE-SPINE-FULL,USSR-817,19,0,Onurğa boyu (tam sütun),Область позвоночника (вдоль столба),Full spine / paravertebral strip,Columna vertebralis,NECK|BACK,Columna vertebralis,Vertebral column,feqere sutunu boyunca|onurga boyu|tam onurga|onurga boyu bel oma|onurga|feqere sutunu|feqere sut|onurqa boyu|feqere sut boyunca|feq sut boyunca|onurqa|onurganin etrafina|onurga kenarlarina|onurga kənarlarina|0nurga boyu|onurganin usdune|onurganin üstünə|oonurga|onurğa|onurgqa boyu|erector spina para vertebral|erector spina|para vertebral|paravertebral|ourga|ourga boyu|onuga|onurha|onuga boyu|onurga boyui|oonurga boyu|onurğa boyu|sutunu boyu|sütünü boyu|sütunu boyu|feqere surunu|fegere sutu|fəgərə sutu|fəgərə sütunu|fegere sutunu,Posterior neck + back + lumbosacral between posterior axillary lines (817 §19).
ZONE-LOWER-LIMB,USSR-817,20,1,Aşağı ətraf,Нижняя конечность,Lower limb,Membrum inferius,LEG_LEFT|LEG_RIGHT,Membrum inferius,Lower limb,ayaqlara|ayaqlar|eyaqlar|asagi etraflara|aşagi ətraflar|ayyaqlar|asagi etraf|ayaqlarina|ayaqlari|asadi etraflara|asaqi etraflara|asagi ereadflara|asagi etraflapa|asafi etraflara|asasagi etraflara|aşagii ətraflar|asahi etraflara|asagi etraglara|dizden yuxari|dizdən yuxarı|ayaqklae|eyaq|ayaq|ayalar|ayaqolar|canaqdan asagi|çanaqdan aşağı|asagi ekstremite|aşağı ekstremite|alt ekstremite|ayaga|ayağa|asagi nahiye|aşağı nahiyə|belden aşaği|beldən aşağı|ayaqlart|ayaqlaqra|ayaqlaer|ayaqloar|asagi etraflr|aşağı ətraflar,817 §20.
ZONE-LOWER-LIMB-LUMBAR,USSR-817,21,1,Aşağı ətraf və bel,Нижняя конечность и поясница,Lower limb and lumbar region,Membrum inferius et regio lumbalis,LEG_LEFT|LEG_RIGHT|BACK,Membrum inferius|Regio lumbalis,Lower limb|Lumbar region of back,,"Foot, leg, thigh, gluteal and lumbosacral (817 §21)."
ZONE-HIP-GLUTEAL,USSR-817,22,1,Bud-çanaq oynağı,Тазобедренный сустав и ягодичная область,Hip joint and gluteal region,Articulatio coxae et regio glutealis,LEG_LEFT|LEG_RIGHT,Articulatio coxae|Regio glutealis,Hip joint|Gluteal region,bud canaq|bud çanaq|bud çanağı|sagri|bud canag|budçanaq|bud|bud nahiyesi|bud nahiyəsi|bud ezeleleri|canaq|çanaq|çanaq nahiyəsi|budun|quadriseps|quadriseps ezeleler|hamstring|canag|canaga|çanağa|canaqlara|çanaqlara|budhissesi|bud hissesi|bud hissəsi|şanaq|sanaq|bbud,"817 §22 hip joint + gluteal. WO bud / quadriseps / hamstring (thigh) alias here. Not baldır (crus), not Shcherbak panty, not bare biceps (arm)."
ZONE-KNEE,USSR-817,23,1,Diz oynağı,Коленный сустав,Knee joint,Articulatio genus,LEG_LEFT|LEG_RIGHT,Articulatio genus,Knee joint,dizlere|dizler|dizlərə|dizlər|dozlere|diz|deiz|dizllere|dizseklere|dize|dizine|dizi|bizler|bizlere|deizlere|deizlərə|dizin|edizlər|diz oynagi|diz oynağı|diz oynagı|dizətrafi|diz etrafi|dizətrafı|dizlier|dizarxasi|diz arxasi|di8zlər|di8zler|diz usdu|diz üstü|dizlerin altina|dizlərin altina|dizlərinin altina|dizlerinin altina|dizalti|dizaltı|qizlere,817 §23.
ZONE-ANKLE,USSR-817,24,1,Aşil / topuq oynağı,Голеностопный сустав,Ankle joint,Articulatio talocruralis,LEG_LEFT|LEG_RIGHT,Articulatio talocruralis,Ankle joint,topuqlara|topuq|aşil|asil|topuqlar|topuga|topug|topuqla|topuqlarina|ayaq topuqlarina|toppug|topuq lara|topulara|topuglara|yopuqlara|malleol|lateral malleol|medial malleol|medial lateral malleol,817 §24.
ZONE-FOOT-LEG,USSR-817,25,1,Ayaq və baldır,Стопа и голень,Foot and leg (crus),Pes et crus,LEG_LEFT|LEG_RIGHT,Pes|Crus,Foot|Leg,daban|dabanlara|dabanlar|ayaqalti|ayaq alti|pence|baldir|dabana|corab|bas barmaq|baş barmaq|ayaq barmaq|ayaqbarmaqlari|ayaq pencesine|ayaqüstü|ayaq bas barmaq|ayaq bas barmaqlari|baldirin|penceler|pəncələr|dizden asagi|dizdən aşağı|dizlerden asagi|dizlərdən aşaği|asagi eyaqlar|asagi ayaqlar|pencelere|baldirlara|ayaqaltina|dizəqədər|dizeqeder|dizə qədər|pəncəyə|penceye|ayaqlar alti|ayaqlaraltı|daban arxasina|ayaqlarin altina|bas barmaga|baş barmağa|ayaq barmaqlari|ayaq barmaqları|ayaqqalti|ayaqaltii|daban alti|ayaqlarinin altina|baldirlar|ayaqbarmaqlar|dizdən aşagi|ayaqbarmaqlarina|axil veteri|axil vətəri|axilles|pen cesine|pəncəsinə|baldira|baldıra|dizdən aşagı,"817 §25. Sock strings (corab, noski) are aliases of this S, not a separate cut field. baldır = crus, not thigh. dizdən aşağı / asagi eyaqlar belong here, not ZONE-LOWER-LIMB."
ZONE-PANTIES,SHCHERBAK,,0,Tuman (trusi) zonası,Трусиковая зона (гальванический пояс по Щербаку),Panty / girdle zone (Shcherbak),Regio lumbosacralis et femora proxima,BACK|LEG_LEFT|LEG_RIGHT,Regio lumbalis|Regio sacralis|Femur (regio femoralis),Lumbar region of back|Sacral region|Thigh,trusi|tuman|трусиковая|panty,Shcherbak girdle: lumbar electrode + upper-thigh electrodes. Not a bath (ZONE-SITZ) and not a hip joint (ZONE-HIP-GLUTEAL). Rare in WO nahiye; keep for electro/galvano.
ZONE-SITZ,HYDRO,,0,Oturacaq / oturaq vanna,Сидячая ванна,Sitz bath,Balneum sessile,BACK,Pelvis,Pelvis,oturaq|otraq|oturaq qursaga kimi|0turaq|oturuaq|3oturaq|3 oturaq|oturuaq vanna|oturaq vanna|1 ci oturaq|1-ci oturaq,"Immersion of pelvic region only (naftalan sitz). Related to panty zone but a bath fill, not an electrode patch."
ZONE-TO-WAIST,HYDRO,,0,Qurşağa qədər,До пояса,To the waist (half bath),Balneum ad cingulum,ABDOMEN|LEG_LEFT|LEG_RIGHT|BACK,Dimidium inferius corporis,Lower half of body,qursaga kimi|qurşagaqədər|qurşagadək|qursaq|qursadek|qursaga qeder|qurşaqədər|qurşağa qədər|qursagagadek|oturaqqursaga kimi|oturaq qursaga kimi,Water line at waist — lower trunk + lower limbs.
ZONE-FULL-BODY,HYDRO,26,0,Tam bədən,Общая (всё тело),Full body,Corpus totum,FULL_BODY,Corpus humanum,Human body,tam|tam bədən|tam beden|umumi|butun beden|bütün bədən|tan beden|tam bedn|tam bədn|beden|bədən|bedenin|bədənin|bədəənin|baden,General bath / general massage. 817 §26 is paediatric general massage — same site idea.
ZONE-FOUR-CHAMBER,HYDRO,,0,4 kameralı vanna,Четырёхкамерная ванна,Four-chamber bath (hands + feet),Manus et pedes (balneum quadriloculare),ARM_LEFT|ARM_RIGHT|LEG_LEFT|LEG_RIGHT,Manus|Pes,Hand|Foot,4 kamerali vanna|4 kamera|4 kamerali|4kamerali|4 kameri|4 kamerali banna,Both hands and both feet in four cells — not a single anatomical region.
ZONE-COCCYX,LOCAL,,0,Büzdüm sümüyü,Копчик,Coccyx,Os coccygis,BACK,Os coccygis,Coccyx,büzdüm sümüyü|büzdüm,"WO BodyParts id=9. Local point, not 817 §14. bel oma does not imply coccyx; 'büzdüm bel oma' is two chips."
ZONE-EAR,LOCAL,,1,Qulaq,Ухо,Ear,Auris,HEAD,Auris,Ear,qulaq|qulaga|qulaqlar|qulagin|qulağın,"WO BodyParts (sağ/sol qulaq) — local, not in 817 massage list."
