id,name,phone,profile_url,listings_count,description_snippet,source,source_url
insaat-0035,CHAMPION SEMENT,(051) 6220000,https://insaat.az/me/champion-sement-129,18,NORM SEMENT zavodunun rəsmi distributoru. NORM 300 B klass. NORM 400 A klass. NORM 500 C klass. Çatdırılm,insaat.az,https://insaat.az/shops
insaat-0036,Conttech,,https://insaat.az/me/conttech-29,,"Kamera, domofon və keçidə nəzarət sistemlərinin satışı və quraşdırılması, videonəzarət sistemlərini",insaat.az,https://insaat.az/shops
insaat-0037,CORIANE AZ,,https://insaat.az/me/coriane-az-239,,Mərmər qranit daşlarının topdan və pərakəndə satışı. Istenilen nov mermerlerin murekkebliyinden asil,insaat.az,https://insaat.az/shops
insaat-0038,Creative konteyner,,https://insaat.az/me/creative-konteyner-306,,"Creativ Konteyner yaşayış, ofis, anbar və ticarət üçün konteynerlərin hazırlanması ilə məşğuldur. Keyfiyyətl",insaat.az,https://insaat.az/shops
insaat-0039,CS ELECTRİC MMC,,https://insaat.az/me/cs-electric-mmc-307,,CS Electric MMC — elektrik avadanlıqları və mallarının satışı və təchizatı üzrə fəaliyyət göstərən Azərbayca,insaat.az,https://insaat.az/shops
insaat-0040,Dam örtükləri,(050) 7260014,https://insaat.az/me/dam-ortukleri-6,110,Dam örtüklərin hazırlanması və qurlaşdırılması. Sizin ucun en munasib ve keyfiyyetli. Dam örtüyünün satiş,insaat.az,https://insaat.az/shops
insaat-0041,Dam örtükləri zavodu,(070) 4375377,https://insaat.az/me/dam-ortukleri-zavodu-271,42,Dam örtüklərin hazırlanması və qurlaşdırılması. Sizin ucun en munasib ve keyfiyyetli. Dam örtüyünün satiş,insaat.az,https://insaat.az/shops
insaat-0042,Diva Jaluz,,https://insaat.az/me/diva-jaluz-367,92,Diva Jaluz 20 il Sizinlə! Türkiyə istehsalı keyfiyyətli jalüzlərin topdan və pərakəndə satış mərkəzi,insaat.az,https://insaat.az/shops
insaat-0043,DOST QAPI EVI,,https://insaat.az/me/dost-qapi-evi-254,5,Arzuladığınız qapılar bir zənglə artıq əlçatandır. 4 il rəsmi zəmanətlə hər növ qapılar xidmətinizdədi,insaat.az,https://insaat.az/shops
insaat-0044,ECA SEREL,,https://insaat.az/me/eca-serel-419,36,Santexnika dünyası: Hamam otağınız üçün estetik aksesuarlar. E.C.A. və SEREL-in rəsmi mağazası! Santexnik,insaat.az,https://insaat.az/shops
insaat-0045,EG INSAAT MMC,,https://insaat.az/me/eg-insaat-mmc-311,,Alt yapi isleri sehir salma ve yol isleri yapilmaktadir . Tekniklarimizda icareye verilir,insaat.az,https://insaat.az/shops
insaat-0046,EGE Banyo,,https://insaat.az/me/ege-banyo-353,,Hər növ santexnika məhsullarının satışı bizdə. şəxsi istəhsalımızdır,insaat.az,https://insaat.az/shops
insaat-0047,Elcam balkon PVC qapi pəncərə evi,,https://insaat.az/me/elcam-balkon-pvc-qapi-pencere-evi-325,,"Elcam – Cam balkon, PVC qapı və pəncərə sistemləri ilə evinizə gözəllik və istilik qatırıq. Keyfiyyətl",insaat.az,https://insaat.az/shops
insaat-0048,Electric MMC,,https://insaat.az/me/electric-mmc-201,,cS Elektrik ⚡️ . Schneider ve Rubezhin Azerbaycandaki resmi Partnyoruyuq,insaat.az,https://insaat.az/shops
insaat-0049,EM CONSTRUCTION,(070) 2004403,https://insaat.az/me/em-construction-65,83,Salam eziz müşderler alkopan polkarbanat satışı ve ya işcliyi her birin edirik yüksek kefiyetle mallarım,insaat.az,https://insaat.az/shops
insaat-0050,ENAM Company,(050) 2106541,https://insaat.az/me/enam-company-357,33,"Şirkətimiz ağır və yüngül texnikaların satışı, ehtiyyat hissələrinin təmin olunması və yüksək səviyyəl",insaat.az,https://insaat.az/shops
insaat-0051,Enerji Mənbəyi,,https://insaat.az/me/enerji-menbeyi-407,52,"Enerji Mənbəyi şirkəti 20 ildir generator satışı ilə məşğuldur. Müştərilərimizə həm nağd, həm də sərfəl",insaat.az,https://insaat.az/shops
insaat-0052,ER POWER GENERATOR,(055) 8920505,https://insaat.az/me/er-power-generator-8,100,"MƏQSƏDIMIZ: DUNYA MARKALARININ YÜKSƏK SƏVİYYƏDƏ TƏMSİL ETMƏK,YENİ TEXNOLOGİYALARIN AZƏRBAYCANA GƏTİRMEKDI",insaat.az,https://insaat.az/shops
insaat-0053,EURO İNŞAAT,(070) 2696171,https://insaat.az/me/euro-insaat-340,74,"25-40,30-60,10-30,30-30,45-45,40-40,60-120,80-80,20-120,20-1,80-160,120-280 və.s müxtəlif ölçüdə kermoqranitləri",insaat.az,https://insaat.az/shops
insaat-0054,GENERATOR DUNYASI,(055) 8043232,https://insaat.az/me/generator-dunyasi-408,68,GENERATOR DUNYASI 20 ildən çoxdur generator satışı və enerji təminatı sahəsində fəaliyyət göstərir. Şirkətimi,insaat.az,https://insaat.az/shops
insaat-0055,GENERATOR MƏRKƏZİ,(055) 5710575,https://insaat.az/me/generator-merkezi-390,185,Şirkətimiz uzun illərdir generator satışı sahəsində uğurla fəaliyyət göstərir.İllərin qazandırdığı təcrübə,insaat.az,https://insaat.az/shops
insaat-0056,GENIRON GROUP,(050) 3998499,https://insaat.az/me/geniron-group-160,24,Geniron Group,insaat.az,https://insaat.az/shops
insaat-0057,Glasse MMC,(055) 7003049,https://insaat.az/me/glasse-mmc-38,17,Glasse MMC sirketi olaraq sizə keyfiyyətli və sərfəli qiymətlər təklif edirik. Gördüyümüz işlərə zəmanə,insaat.az,https://insaat.az/shops
insaat-0058,Goldstarmarble MMC,(050) 5556789,https://insaat.az/me/goldstarmarble-mmc-213,51,Zəriflik və funksionallıq harmoniyası.Hər növ mərmər sifarişlərin qəbulu,insaat.az,https://insaat.az/shops
insaat-0059,Green Layn,(051) 4765047,https://insaat.az/me/green-layn-409,21,"Green_Layn – 10 illik təcrübə və etibar. Artıq 10 ildir ki, Green_Layn süni qazon, kovralit və deko",insaat.az,https://insaat.az/shops
insaat-0060,Guvən Glass,,https://insaat.az/me/guven-glass-3,46,"Guven Glass olaraq temir tikinti insaat sahesinde özəlliklə, aliminyum, şüşə, meheccer, cam balkon, du",insaat.az,https://insaat.az/shops
insaat-0061,H & M DUŞ KABIN,(070) 4771679,https://insaat.az/me/h-m-dus-kabin-364,24,Yaz endirimlərimiz başladı. Yaz mövsümünə uyğun olaraq Dus kabinalari yüksək keyfiyətlə münasib qiymətl,insaat.az,https://insaat.az/shops
insaat-0062,Haleyapi MMC,,https://insaat.az/me/haleyapi-mmc-348,,"Şirkətimiz tərəfdən Konteynerlərin alışı və satışı, Perefabrik işləri, Alkopan işləri, Naveslərin v",insaat.az,https://insaat.az/shops
insaat-0063,HH DEMIR QAPILAR,,https://insaat.az/me/hh-demir-qapilar-298,,"HH Dəmir Qapılar sizə möhkəm, zərbəyə davamlı və estetik görünüşlü qapılar təklif edir",insaat.az,https://insaat.az/shops
insaat-0064,HORDOORS,(070) 2646560,https://insaat.az/me/hordoors-92,15,Turkiye Almaniya Italia fotosel qapilari teqdim ediriy sizlere.Her növ istesalci qapilarin temiri quraşdirmasin,insaat.az,https://insaat.az/shops
insaat-0065,Hədəf Group MMC,,https://insaat.az/me/hedef-group-mmc-391,6,"Istanbul Elektrostatik Filtre markası olaraq Elektrostatik filtr,karbon filtr və Fan təklif edirik",insaat.az,https://insaat.az/shops
insaat-0066,IKMA Machinery,,https://insaat.az/me/ikma-machinery-197,47,&quot;IKMA Machinery&quot; olaraq tikinti işlərinizdə tələb olunan yeni texnikaları və onların servisin,insaat.az,https://insaat.az/shops
insaat-0067,INTERCOMMERS,(051) 3617530,https://insaat.az/me/intercommers-11,448,Tehlukesizlik sistemlerinin satisi ve qurasdirilmasi. Slaqbaumlarin Turniketlerin satisi ve qurasdirilmasi,insaat.az,https://insaat.az/shops
insaat-0068,Intertek Makina A.Ş. AR Filialı,(050) 2063072,https://insaat.az/me/intertek-makina-a.s.-ar-filiali-285,25,İntertek Makina A.Ş.nin Azərbaycan Respublikasındakı Filialı 2005-ci ildən etibarən Bakıda fəaliyyət,insaat.az,https://insaat.az/shops
insaat-0069,Intertek Makina shirketi,(050) 2545422,https://insaat.az/me/intertek-makina-shirketi-46,17,Intertek Makina shirketi Cinin agir tikinti texnikalari istehsal eden aparici firmasi LiuGong.un Azerbaycandak,insaat.az,https://insaat.az/shops
insaat-0070,IZ CONSTRUCTION,,https://insaat.az/me/iz-construction-182,34,Hər Növ Avtomatik Qapıların Sifarişi və Servis Xidməti Resmi Zəmanətlə.Qiymətlər öcuyə rəngə göre deyişir,insaat.az,https://insaat.az/shops
insaat-0071,Izotrade,(050) 2963333,https://insaat.az/me/izotrade-61,35,Sendviç panellərin və izolyasiya materiallarının topdan və pərakəndə satışı,insaat.az,https://insaat.az/shops
insaat-0072,İnterdoor,(050) 4223313,https://insaat.az/me/interdoor-288,25,Interdoor şirkəti Azərbaycanda avtomatik qapı sistemləri üzrə ixtisaslaşmış bir şirkətdir. Şirkət müxtəli,insaat.az,https://insaat.az/shops
insaat-0073,Jaluz Baku,,https://insaat.az/me/jaluz-baku-305,1,Salam size yuksek keyfiyyete malik jaluzi perdeler munasib qiymete teklif edirik,insaat.az,https://insaat.az/shops
insaat-0074,kdmss təhlükəsizlik sistemləri,,https://insaat.az/me/kdmss-tehlukesizlik-sistemleri-108,,Kamera Domafon Mühafizə Siqnalizasiya Sistemlərinin satışı və quraşdırılması,insaat.az,https://insaat.az/shops
insaat-0075,KERPIC AZ,,https://insaat.az/me/kerpic-az-95,4,"Dəyərli müştərilərimiz güclü, odadavamlı, uyğun büdcəli kərpiclərin ünvanı yalnız bizdədir. Buyurub sifari",insaat.az,https://insaat.az/shops
insaat-0076,KERPICLERIN ISTEHSALI,(050) 2000451,https://insaat.az/me/kerpiclerin-istehsali-339,11,Ulduz metrosuna yaxın ərazidə yerləşən zavodumuzda yüksək keyfiyyətli kerpiclərin istehsalı və topda,insaat.az,https://insaat.az/shops
insaat-0077,KLIMA MARKET,,https://insaat.az/me/klima-market-88,,Havalandırma sistemləri üçün fanların satışı və quraşdırılması Servis xidməti,insaat.az,https://insaat.az/shops
insaat-0078,Konteyner Group,(055) 2541005,https://insaat.az/me/konteyner-group-58,29,Konteynerlerin alişi satişi ve icaresi,insaat.az,https://insaat.az/shops
insaat-0079,Konteyner House,,https://insaat.az/me/konteyner-house-165,,Yeni və ikinci əl konteynerlərin satışı,insaat.az,https://insaat.az/shops
insaat-0080,KRISTAL ROOFS DAM ORTUKLERI ZAVODU,(050) 5598086,https://insaat.az/me/kristal-roofs-dam-ortukleri-zavodu-418,19,Dam örtükləri topdansatış istədiniz zövqə uyğun şok endirim istədiniz qalınlığı isdədiyniz rəg,insaat.az,https://insaat.az/shops
insaat-0081,KƏNAN KN MMC,(055) 3323280,https://insaat.az/me/kenan-kn-mmc-41,4,"TERMOPLAST XPS termoizolyasiya materialı Homogen məsaməli tərkibə malik, istilik izolyasiya məqsədil",insaat.az,https://insaat.az/shops
insaat-0082,LAMINATTO AZ,(070) 3335933,https://insaat.az/me/laminatto-az-417,16,"Yüksək keyfiyyət, sərfəli qiymətlər! Laminat, lambirin, plintus və tinlik məhsullarının topdan qiymətin",insaat.az,https://insaat.az/shops
insaat-0083,Leca,,https://insaat.az/me/leca-149,59,"Leca: Keramzit, yüngül beton blok, hazir daxili və fasad suvağı, hörgü yapışdırıcı, kənd təsərrufat keramzit",insaat.az,https://insaat.az/shops
insaat-0084,Logi Group MMC,(055) 2134863,https://insaat.az/me/logi-group-mmc-178,205,Yanğın siqnalizasiyası. Video müşahidə (CCTV) sistemləri. Siqnalizasiya və giriş nəzarəti sistemləri,insaat.az,https://insaat.az/shops
insaat-0085,M-Metall-Group,,https://insaat.az/me/m-metall-group-205,,"Tikinti sahəsindəki konteynerlər tikinti sahəsinin işçilərinin müvəqqəti sığınması üçün binalar, bəndlər",insaat.az,https://insaat.az/shops
insaat-0086,Mahmudoğlu Konteyner,,https://insaat.az/me/mahmudoglu-konteyner-366,64,"Səndiviç və liman konteyner istehsalı, ofis, mühafizə köşkü, yeməkxana, yataqxana, hamam və sanitar ehtiyacla",insaat.az,https://insaat.az/shops
insaat-0087,MASDER CLAS PVC,(077) 1227422,https://insaat.az/me/masder-clas-pvc-405,11,Plastik qapı və pəncərələrin hər ölçüyə uyğun hazırlanıb quraşdırılması mümkündür. Ən ucuz Qiymətə v,insaat.az,https://insaat.az/shops
insaat-0088,Master İnşaat Dam örtükləri,,https://insaat.az/me/master-insaat-dam-ortukleri-295,26,Master İnşaat Dam örtüklərin topdan ve perakende satiw merkezi olaraq fəaliyyət göstəririk. Hər növ da,insaat.az,https://insaat.az/shops
insaat-0089,Master Paint MMC,(051) 6661965,https://insaat.az/me/master-paint-mmc-318,35,Master Paint MMC Asvalt Beton üzerinde yol xett boya işleri ve diger boya işleri görürür matreal daxi,insaat.az,https://insaat.az/shops
insaat-0090,MEHEMMED JALUZ,,https://insaat.az/me/mehemmed-jaluz-122,,Her nov Turkiye istehsali olan jaluz perdeler torlar magazamizda movcuddur,insaat.az,https://insaat.az/shops
insaat-0091,Merhemmetli insaat,(050) 3645544,https://insaat.az/me/merhemmetli-insaat-420,15,Hər növ dam örtüklərinin topdan və pərakəndə satışı. Keyfiyyət və etibar bir ünvanda!,insaat.az,https://insaat.az/shops
insaat-0092,Metal Trade MMC,(055) 3504999,https://insaat.az/me/metal-trade-mmc-263,87,Salam əziz və hörmətli müştərilər münasib qiymətlərlə xidmətinizdəyik Her olcude ve her uzunluqda zavo,insaat.az,https://insaat.az/shops
insaat-0093,MIRZƏ AQLAY EVİ,,https://insaat.az/me/mirze-aqlay-evi-174,39,Seximizdə hazırlanan Ağlay daşlarının satışı və quraşdırılması işlərini görürük,insaat.az,https://insaat.az/shops
insaat-0094,Modul binalar,(012) 3101177,https://insaat.az/me/modul-binalar-62,53,"Modul Binalar. Yeni nəsil texnologiya standartlarına cavab verən, müxtəlif ölçülü, sökülə bilən modu",insaat.az,https://insaat.az/shops
insaat-0095,Mostec Group,,https://insaat.az/me/mostec-group-209,,&quot;Mostec Group&quot; olaraq biz hər zaman sizə münasib qiymətə yüksək keyfiyyət təmin etmişik,insaat.az,https://insaat.az/shops
insaat-0096,Mosu Store,,https://insaat.az/me/mosu-store-259,,Mehsulardan yaranlanmaq ucun whatsappa ve ya Sexsiye yazin. Mehsular yeni mehsulardi . Tesekurler,insaat.az,https://insaat.az/shops
insaat-0097,MUASIR QAPILAR,(070) 9127888,https://insaat.az/me/muasir-qapilar-291,43,"Biz, uzun illərin təcrübəsi ilə qapı, darvaza, məhəccər, reşotka və digər metal məmulatların istehsal",insaat.az,https://insaat.az/shops
insaat-0098,Muhendis temir tikinti MMC,,https://insaat.az/me/muhendis-temir-tikinti-mmc-333,,"Azərbaycan bazarında asfalt, tamet və bordür satışı üzrə ixtisaslaşmış etibarlı şirkətdir. Məhsullarımı",insaat.az,https://insaat.az/shops
insaat-0099,Müasir Havalandırma,(070) 6225829,https://insaat.az/me/muasir-havalandirma-214,88,"Havalandırma sisteminin yüksək keyfiyyətlə quraşdırılması, satışı və servisi.Bizim işimiz sizin uğurunuzdu",insaat.az,https://insaat.az/shops
insaat-0100,N.N Dam Örtükləri Evi,,https://insaat.az/me/n.n-dam-ortukleri-evi-368,,"&quot;Dam örtüklərində geniş seçim, yüksək keyfiyyət və etibarlı xidmət. Tavanınızı güvənlə bizə həval",insaat.az,https://insaat.az/shops
insaat-0101,N1 Kamera Dünyası,,https://insaat.az/me/n1-kamera-dunyasi-363,,&quot;N1 Kamera Dünyası&quot; mağazası sizə ən yüksək keyfiyyətə malik kameraları təklif edir.Hər gün,insaat.az,https://insaat.az/shops
insaat-0102,NERJ.DEKOR,,https://insaat.az/me/nerj.dekor-292,,Yüksey keyfiyetli ve qida ücün nezerde tutulmuş (M304-M316) markası olan nerjaveyka materiyalından hazırlana,insaat.az,https://insaat.az/shops
insaat-0103,Next modern construction,,https://insaat.az/me/next-modern-construction-373,,"Müasir tikinti həlləri təqdim edən şirkət olaraq layihələndirmə, tikinti, təmir və infrastruktur xidmətlər",insaat.az,https://insaat.az/shops
insaat-0104,NS GROUP,,https://insaat.az/me/ns-group-297,,Salam size yuksek keyfiyyete malik jaluzi perdeler munasib qiymete teklif edirik.Bizdən istədiyiniz nö,insaat.az,https://insaat.az/shops
insaat-0105,OnTime,,https://insaat.az/me/ontime-269,,&quot;10Time&quot; şirkəti təmir-tikinti məhsullarının topdan və pərakənda satışı və təchizini həyat,insaat.az,https://insaat.az/shops
insaat-0106,Polibak MMC ( Turksan ),(050) 2042468,https://insaat.az/me/polibak-mmc-turksan-328,9,Bir başa istehsalatdan olan məhsullarımızı sizlərə nümaiş etdirmək istəyirəm. Məhsullarımız 75 -200 l,insaat.az,https://insaat.az/shops
insaat-0107,Prime Leasing,(050) 2194455,https://insaat.az/me/prime-leasing-358,9,Prime Leasing – kənd təsərrüfatında güvənilir maliyyə partnyorunuz! Müasir kənd təsərrüfatı texnikasın,insaat.az,https://insaat.az/shops
insaat-0108,Prior Leasing,(050) 8788800,https://insaat.az/me/prior-leasing-153,60,Şirkətimiz 2014-cü ildə Azərbaycan vətəndaşları olan fərdi sahibkarlar tərəfindən təsis edilmişdir. Yerl,insaat.az,https://insaat.az/shops
insaat-0109,Profigroup MMC,,https://insaat.az/me/profigroup-mmc-317,,3D NATO tipli hasar idxalı və tədarükü üzrə ixtisaslaşmış şırkət istənilən cür panel hasarların satış,insaat.az,https://insaat.az/shops
insaat-0110,Promextech Group,(051) 2525000,https://insaat.az/me/promextech-group-400,37,"Promextech Group aparıcı istehsalçılardan maşın, avadanlıq və ehtiyat hissələrinin birbaşa, komplek",insaat.az,https://insaat.az/shops
insaat-0111,R-ARM Armaturların topdan ve pərakende satışı,,https://insaat.az/me/r-arm-armaturlarin-topdan-ve-perakende-satisi-130,,"R-ARM Armatur şirkəti, armatur məhsullarının topdan və pərakəndə satışını həyata keçirir. Yüksək keyfiyyətl",insaat.az,https://insaat.az/shops
insaat-0112,R.N Aqlay Daşların satışı və dizaynı,,https://insaat.az/me/r.n-aqlay-daslarin-satisi-ve-dizayni-319,,Aqlay Daslarin topdan ve perakende satışı. Sizdə evinizi təbii aqlay daşı ilə möhtəşəm üzləmək istəyirsizs,insaat.az,https://insaat.az/shops
insaat-0113,Ranz mmc,(050) 2077307,https://insaat.az/me/ranz-mmc-324,5,RANZ MMC – inşaat sektorunda peşəkar və keyfiyyətə önəm verən şirkətlərdən biridir. Fəaliyyət sahəmiz,insaat.az,https://insaat.az/shops
insaat-0114,RAY Group MMC,,https://insaat.az/me/ray-group-mmc-42,98,RAY GROUP MMC TİKİNTİ ŞİRKƏTİ ƏN YÜKSƏK SƏVİYYƏDƏ İŞLƏRİNİ SİZƏ TƏQDİM EDİR! Keyfiyyətimiz gördüyümü,insaat.az,https://insaat.az/shops
insaat-0115,Relmar Group MMC,,https://insaat.az/me/relmar-group-mmc-267,,19 illik iş təcrübəsinə dayanaraq ən yeni texnologiya və şık görünüm ilə sizin yaşam alanınızı mükəmmə,insaat.az,https://insaat.az/shops
insaat-0116,RR GLASSE,,https://insaat.az/me/rr-glasse-304,,"RR GLASSE şirkəti olaraq sizə keyfiyyətli hər növ cam balkon plastik qapi ve pencereler, şüşə, meheccer",insaat.az,https://insaat.az/shops
insaat-0117,RR Group,,https://insaat.az/me/rr-group-106,,"RR Group Seyf qapı, darvaza, dəmir barmaqlıqlar və məhəccərlərin birbaşa satışı və istənilən ölçüdə sifarişl",insaat.az,https://insaat.az/shops
