layer,family,kind,category,old_code,old_service_code,proposed_code,proposed_service_code,action,title_en,title_ru,title_az,old_includes,proposed_includes
service,MRI,imaging,abdomen,MRI-ABD,MRI-ABD,MRI-ABD,MRI-ABD,keep,Abdomen / pelvis MRI,МРТ брюшной полости / малого таза,MRT Qarın / çanaq,,
service,MRI,imaging,head,MRI-PIT,MRI-PIT,MRI-PIT,MRI-PIT,keep,Pituitary MRI,МРТ гипофиза,MRT Hipofiz,,
service,MRI,imaging,breast,MRI-BREAST,MRI-BREAST,MRI-BREAST,MRI-BREAST,keep,Breast MRI,МРТ молочных желёз,MRT Süd vəzi,,
service,MRI,imaging,msk,MRI-SOFT,MRI-SOFT,MRI-SOFT,MRI-SOFT,keep,Soft tissue MRI,МРТ мягких тканей,MRT Yumşaq toxuma,,
service,MRI,imaging,vascular,MRI-MRA,MRI-MRA,MRI-MRA,MRI-MRA,keep,MR angiography,МРТ ангиография,MRT angioqrafiya,,
service,MRI,imaging,cardiac,MRI-HEART,MRI-HEART,MRI-HEART,MRI-HEART,keep,Cardiac MRI,МРТ сердца,MRT Ürək,,
modality,CARDIO,functional,,CARDIO,CARDIO,CARDIO,CARDIO,keep,Cardiology diagnostics,Кардиодиагностика,Kardiodiaqnostika,,
service,CARDIO,functional,ecg,ECG-12,ECG-12,CARDIO-ECG,CARDIO-ECG,add-family-prefix,12-lead ECG,ЭКГ (12 отведений),EKQ (12 aparat),,
service,CARDIO,functional,ecg,HOLTER,HOLTER,CARDIO-HOLTER,CARDIO-HOLTER,add-family-prefix,Holter ECG,Холтер ЭКГ,Holter EKQ,,
service,CARDIO,functional,bp,ABPM,ABPM,CARDIO-ABPM,CARDIO-ABPM,add-family-prefix,Ambulatory BP monitoring,СМАД,Günlük təzyiq monitorinqi,,
service,CARDIO,functional,echo,ECHO-CG,ECHO-CG,CARDIO-ECHO,CARDIO-ECHO,add-family-prefix,Echocardiography,ЭхоКГ,ExoKQ,,
service,CARDIO,functional,stress,STRESS-ECG,STRESS-ECG,CARDIO-STRESS-ECG,CARDIO-STRESS-ECG,add-family-prefix,Exercise stress ECG,Нагрузочная проба (тредмил/вело),Yük sınağı,,
service,CARDIO,functional,stress,STRESS-ECHO,STRESS-ECHO,CARDIO-STRESS-ECHO,CARDIO-STRESS-ECHO,add-family-prefix,Stress echocardiography,Стресс-ЭхоКГ,Stress ExoKQ,,
service,CARDIO,functional,echo,TEE,TEE,CARDIO-TEE,CARDIO-TEE,add-family-prefix,Transesophageal echo,Чреспищеводная ЭхоКГ,TEE ExoKQ,,
service,CARDIO,functional,invasive,CORO-REPORT,CORO-REPORT,CARDIO-CORO-REPORT,CARDIO-CORO-REPORT,add-family-prefix,Coronary angiography report,Отчёт коронарографии,Koronaroqrafiya hesabatı,,
modality,FUNC,functional,,FUNC,FUNC,FUNC,FUNC,keep,Functional diagnostics,Функциональная диагностика,Funksional diaqnostika,,
service,FUNC,functional,pulmonology,SPIRO,SPIRO,FUNC-SPIRO,FUNC-SPIRO,add-family-prefix,Spirometry,Спирометрия,Spirometriya,,
service,FUNC,functional,neuro,EEG,EEG,FUNC-EEG,FUNC-EEG,add-family-prefix,EEG,ЭЭГ,EEQ,,
service,FUNC,functional,neuro,EMG,EMG,FUNC-EMG,FUNC-EMG,add-family-prefix,EMG / NCS,ЭНМГ,ENMQ,,
service,FUNC,functional,ent,AUDIO,AUDIO,FUNC-AUDIO,FUNC-AUDIO,add-family-prefix,Audiometry,Аудиометрия,Audiometriya,,
service,FUNC,functional,ophthalmology,OPHTH-DX,OPHTH-DX,FUNC-OPHTH,FUNC-OPHTH,add-family-prefix,Ophthalmology exam,Офтальмологическое обследование,Oftalmoloji müayinə,,
service,FUNC,functional,dermatology,DERM-DX,DERM-DX,FUNC-DERM,FUNC-DERM,add-family-prefix,Dermatology / dermoscopy,Дерматоскопия / осмотр кожи,Dermatologiya / dermoskopiya,,
service,FUNC,functional,pulmonology,SPIRO-BD,SPIRO-BD,FUNC-SPIRO-BD,FUNC-SPIRO-BD,add-family-prefix,Spirometry with bronchodilator,Спирометрия с бронхолитиком,Bronxodilatatorlu spirometriya,,
service,FUNC,functional,pulmonology,PEF,PEF,FUNC-PEF,FUNC-PEF,add-family-prefix,Peak flowmetry,Пикфлоуметрия,Pikfloumetriya,,
service,FUNC,functional,ent,TYMP,TYMP,FUNC-TYMP,FUNC-TYMP,add-family-prefix,Tympanometry,Тимпанометрия,Timpanometriya,,
service,FUNC,functional,ent,VEST,VEST,FUNC-VEST,FUNC-VEST,add-family-prefix,Vestibular / calorics,Вестибулометрия,Vestibulometriya,,
service,FUNC,functional,ent,ENT-EXAM,ENT-EXAM,FUNC-ENT-EXAM,FUNC-ENT-EXAM,add-family-prefix,ENT exam (oto/rhino/pharyngo),ЛОР-осмотр,LOR müayinə,,
service,FUNC,functional,gyn,COLPO,COLPO,FUNC-COLPO,FUNC-COLPO,add-family-prefix,Colposcopy,Кольпоскопия,Kolposkopiya,,
service,FUNC,functional,gi,UREA-BREATH,UREA-BREATH,FUNC-UREA-BREATH,FUNC-UREA-BREATH,add-family-prefix,H. pylori urea breath test,Дыхательный тест H. pylori,H. pylori nəfəs testi,,
service,FUNC,functional,neuro,EP,EP,FUNC-EP,FUNC-EP,add-family-prefix,Evoked potentials,Вызванные потенциалы,Yaranma potensialları,,
service,FUNC,functional,neuro,PSG,PSG,FUNC-PSG,FUNC-PSG,add-family-prefix,Polysomnography (summary),Полисомнография (резюме),Polisomnoqrafiya,,
service,FUNC,functional,neuro,STABILO,STABILO,FUNC-STABILO,FUNC-STABILO,add-family-prefix,Stabilometry,Стабилометрия,Stabilometriya,,
modality,ENDO,endoscopy,,ENDO,ENDO,ENDO,ENDO,keep,Endoscopy,Эндоскопия,Endoskopiya,,
service,ENDO,endoscopy,gi,EGD,EGD,ENDO-EGD,ENDO-EGD,add-family-prefix,EGD (gastroscopy),ЭГДС (гастроскопия),Qastroskopiya,,
service,ENDO,endoscopy,gi,COLONO,COLONO,ENDO-COLONO,ENDO-COLONO,add-family-prefix,Colonoscopy,Колоноскопия,Kolonoskopiya,,
service,ENDO,endoscopy,pulmonology,BRONCHO,BRONCHO,ENDO-BRONCHO,ENDO-BRONCHO,add-family-prefix,Bronchoscopy,Бронхоскопия,Bronxoskopiya,,
service,ENDO,endoscopy,gi,RRS,RRS,ENDO-RRS,ENDO-RRS,add-family-prefix,Rectosigmoidoscopy,Ректороманоскопия,Rektoromanoskopiya,,
service,ENDO,endoscopy,urology,CYSTO,CYSTO,ENDO-CYSTO,ENDO-CYSTO,add-family-prefix,Cystoscopy,Цистоскопия,Sistoskopiya,,
service,ENDO,endoscopy,ent,RHINO-ENDO,RHINO-ENDO,ENDO-RHINO,ENDO-RHINO,add-family-prefix,Nasal endoscopy,Эндоскопия носа,Burun endoskopiyası,,
service,ENDO,endoscopy,ent,LARYNGO,LARYNGO,ENDO-LARYNGO,ENDO-LARYNGO,add-family-prefix,Laryngoscopy,Ларингоскопия,Laringoskopiya,,
modality,MAMMO,imaging,,MAMMO,MAMMO,MAMMO,MAMMO,keep,Mammography,Маммография,Mammoqrafiya,,
service,MAMMO,imaging,breast,MAMMO-STD,MAMMO-STD,MAMMO-STD,MAMMO-STD,keep,Standard mammography,Маммография стандартная,Standart mammoqrafiya,,
modality,DENSITOMETRY,imaging,,DENSITOMETRY,DENSITOMETRY,DENSITOMETRY,DENSITOMETRY,keep,Bone densitometry,Денситометрия (DXA),Sümük densitometriyası,,
service,DENSITOMETRY,imaging,msk,DXA,DXA,DENSITOMETRY-DXA,DENSITOMETRY-DXA,add-family-prefix,DXA bone density,DXA плотность кости,DXA sümük sıxlığı,,
lab_panel,LAB,lab_panel,hematology,LAB-CBC,LAB-CBC,LAB-CBC,LAB-CBC,keep,Complete blood count,Общий анализ крови,Qanın ümumi analizi,,
lab_panel,LAB,lab_panel,biochemistry,LAB-BIOCHEM,LAB-BIOCHEM,LAB-BIOCHEM,LAB-BIOCHEM,keep,Blood biochemistry panel,Биохимический анализ крови,Qanın biokimyəvi analizi,,
lab_panel,LAB,lab_panel,biochemistry,LAB-ELECTRO,LAB-ELECTRO,LAB-ELECTRO,LAB-ELECTRO,keep,Electrolytes,Электролиты,Elektrolitlər,,
lab_panel,LAB,lab_panel,coagulation,LAB-COAG,LAB-COAG,LAB-COAG,LAB-COAG,keep,Coagulation panel,Коагулограмма,Koaquloqramma,,
lab_panel,LAB,lab_panel,metabolic,LAB-GLUCOSE,LAB-GLUCOSE,LAB-GLUCOSE,LAB-GLUCOSE,keep,Glucose / diabetes panel,Глюкоза / диабет-панель,Qlükoza / diabet paneli,,
lab_panel,LAB,lab_panel,hormones,LAB-THYROID,LAB-THYROID,LAB-THYROID,LAB-THYROID,keep,Thyroid hormones,Гормоны щитовидной железы,Qalxanabənzər hormonlar,,
lab_panel,LAB,lab_panel,hormones,LAB-SEX-HORM,LAB-SEX-HORM,LAB-SEX-HORM,LAB-SEX-HORM,keep,Sex hormones panel,Половые гормоны,Cinsiyyət hormonları,,
lab_panel,LAB,lab_panel,serology,LAB-INFECT,LAB-INFECT,LAB-INFECT,LAB-INFECT,keep,Infectious serology screen,Инфекционный серологический скрининг,İnfeksion seroloji skrininq,,
lab_panel,LAB,lab_panel,tumor_markers,LAB-TUMOR,LAB-TUMOR,LAB-TUMOR,LAB-TUMOR,keep,Tumor markers (common),Онкомаркеры (базовые),Onkomarkerlər (əsas),,
lab_panel,LAB,lab_panel,vitamins_iron,LAB-VITMIN,LAB-VITMIN,LAB-VITAMIN,LAB-VITAMIN,fix-typo,Vitamins / iron panel,Витамины / железо,Vitaminlər / dəmir,,
lab_panel,LAB,lab_panel,urine,LAB-URINE,LAB-URINE,LAB-URINE,LAB-URINE,keep,Urinalysis,Общий анализ мочи,Sidiyin ümumi analizi,,
lab_panel,LAB,lab_panel,urine,LAB-URINE-CULT,LAB-URINE-CULT,LAB-URINE-CULT,LAB-URINE-CULT,keep,Urine culture,Посев мочи,Sidik əkilməsi,,
lab_panel,LAB,lab_panel,stool,LAB-STOOL,LAB-STOOL,LAB-STOOL,LAB-STOOL,keep,Stool analysis,Анализ кала,Nəcis analizi,,
lab_panel,LAB,lab_panel,immunohematology,LAB-BG,LAB-BG,LAB-BG,LAB-BG,keep,Blood group / Rh,Группа крови / резус,Qan qrupu / rezus,,
lab_panel,LAB,lab_panel,hormones,LAB-BHCG,LAB-BHCG,LAB-BHCG,LAB-BHCG,keep,Beta-hCG,Бета-ХГЧ,Beta-hCG,,
lab_panel,LAB,lab_panel,andrology,LAB-SEMEN,LAB-SEMEN,LAB-SEMEN,LAB-SEMEN,keep,Semen analysis,Спермограмма,Spermogramma,,
lab_panel,LAB,lab_panel,molecular,LAB-PCR-STI,LAB-PCR-STI,LAB-PCR-STI,LAB-PCR-STI,keep,STI PCR panel,ПЦР ИППП-панель,Cİİ PCR paneli,,
lab_panel,LAB,lab_panel,allergy,LAB-ALLERGY,LAB-ALLERGY,LAB-ALLERGY,LAB-ALLERGY,keep,Allergy / IgE screen,Аллергопанель / IgE,Allergiya / IgE,,
lab_panel,LAB,lab_panel,cytology,LAB-CYTOLOGY,LAB-CYTOLOGY,LAB-CYTOLOGY,LAB-CYTOLOGY,keep,Pap / cytology,Цитология (ПАП / мазок),Sitologiya (PAP),,
lab_panel,LAB,lab_panel,histology,LAB-HISTO,LAB-HISTO,LAB-HISTO,LAB-HISTO,keep,Histology report,Гистология,Histologiya,,
lab_panel,LAB,lab_panel,serology,LAB-TORCH,LAB-TORCH,LAB-TORCH,LAB-TORCH,keep,TORCH full panel,TORCH полный,TORCH tam,,
lab_panel,LAB,lab_panel,serology,LAB-HEP-EXT,LAB-HEP-EXT,LAB-HEP-EXT,LAB-HEP-EXT,keep,Hepatitis extended,Гепатиты расширенно,Hepatit geniş,,
lab_panel,LAB,lab_panel,allergy,LAB-ALLERGY-FOOD,LAB-ALLERGY-FOOD,LAB-ALLERGY-FOOD,LAB-ALLERGY-FOOD,keep,Food allergy IgE panel,Аллергопанель пищевая,Qida allergiya paneli,,
lab_panel,LAB,lab_panel,allergy,LAB-ALLERGY-INH,LAB-ALLERGY-INH,LAB-ALLERGY-INH,LAB-ALLERGY-INH,keep,Inhalant allergy IgE panel,Аллергопанель дыхательная,İnhalyasiya allergiya,,
lab_panel,LAB,lab_panel,allergy,LAB-ALLERGY-PED,LAB-ALLERGY-PED,LAB-ALLERGY-PED,LAB-ALLERGY-PED,keep,Pediatric allergy panel,Аллергопанель педиатрическая,Pediatrik allergiya,,
lab_panel,LAB,lab_panel,rheumatology,LAB-RHEUMA,LAB-RHEUMA,LAB-RHEUMA,LAB-RHEUMA,keep,Rheumatology panel,Ревмопанель,Revmo panel,,
lab_panel,LAB,lab_panel,inflammation,LAB-INFLAM,LAB-INFLAM,LAB-INFLAM,LAB-INFLAM,keep,Inflammation markers,Маркёры воспаления,İltihab markerləri,,
lab_panel,LAB,lab_panel,biochemistry,LAB-RENAL,LAB-RENAL,LAB-RENAL,LAB-RENAL,keep,Renal extended,Почки расширенно,Böyrək geniş,,
lab_panel,LAB,lab_panel,biochemistry,LAB-LIPID,LAB-LIPID,LAB-LIPID,LAB-LIPID,keep,Lipid panel,Липидограмма,Lipid panel,,
lab_panel,LAB,lab_panel,biochemistry,LAB-LIVER,LAB-LIVER,LAB-LIVER,LAB-LIVER,keep,Liver panel,Печёночная панель,Qaraciyər paneli,,
lab_panel,LAB,lab_panel,cardiac,LAB-CARDIAC,LAB-CARDIAC,LAB-CARDIAC,LAB-CARDIAC,keep,Cardiac markers,Кардиомаркёры,Kardiomarkerlər,,
lab_panel,LAB,lab_panel,hormones,LAB-ENDO-HORM,LAB-ENDO-HORM,LAB-ENDO-HORM,LAB-ENDO-HORM,keep,Endocrine hormones extras,Гормоны (доп. эндокринные),Endokrin hormonlar,,
lab_panel,LAB,lab_panel,microbiology,LAB-MICRO-CULT,LAB-MICRO-CULT,LAB-MICRO-CULT,LAB-MICRO-CULT,keep,Culture + antibiogram (generic),Посев + антибиотикограмма,Əkmə + antibioqram,,
lab_panel,LAB,lab_panel,stool,LAB-COPROG,LAB-COPROG,LAB-COPROG,LAB-COPROG,keep,Coprogram,Копрограмма,Koproqramma,,
lab_panel,LAB,lab_panel,cytology,LAB-GYN-SMEAR,LAB-GYN-SMEAR,LAB-GYN-SMEAR,LAB-GYN-SMEAR,keep,Vaginal flora smear,Мазок на флору,Flora yaxması,,
lab_panel,LAB,lab_panel,molecular,LAB-HPV,LAB-HPV,LAB-HPV,LAB-HPV,keep,HPV high-risk genotyping,ВПЧ (генотипы ВР),HPV yüksək risk,,
lab_panel,LAB,lab_panel,molecular,LAB-RESP-PCR,LAB-RESP-PCR,LAB-RESP-PCR,LAB-RESP-PCR,keep,Respiratory PCR (COVID/Flu/RSV),ПЦР респираторная,Respirator PCR,,
lab_panel,LAB,lab_panel,tumor_markers,LAB-TUMOR-EXT,LAB-TUMOR-EXT,LAB-TUMOR-EXT,LAB-TUMOR-EXT,keep,Tumor markers extended,Онкомаркеры расширенные,Onkomarker geniş,,
lab_panel,LAB,lab_panel,immunology,LAB-IG,LAB-IG,LAB-IG,LAB-IG,keep,Immunoglobulins,Иммуноглобулины,İmmunoqlobulinlər,,
lab_panel,LAB,lab_panel,metabolic,LAB-HOMOC,LAB-HOMOC,LAB-HOMOC,LAB-HOMOC,keep,Homocysteine,Гомоцистеин,Homosistein,,
lab_panel,LAB,lab_panel,vitamins_iron,LAB-TRACE,LAB-TRACE,LAB-TRACE,LAB-TRACE,keep,Trace elements,Микроэлементы,Mikroelementlər,,
lab_panel,LAB,lab_panel,serology,LAB-INFECT-REG,LAB-INFECT-REG,LAB-INFECT-REG,LAB-INFECT-REG,keep,Regional infections,Региональные инфекции,Regional infeksiyalar,,
lab_panel,LAB,lab_panel,serology,LAB-TB-IGRA,LAB-TB-IGRA,LAB-TB-IGRA,LAB-TB-IGRA,keep,TB IGRA (Quantiferon),Туберкулёз IGRA,Vərəm IGRA,,
lab_panel,LAB,lab_panel,toxicology,LAB-DRUG-SCR,LAB-DRUG-SCR,LAB-DRUG-SCR,LAB-DRUG-SCR,keep,Drug screen,Наркоскрининг,Narkoskrining,,
lab_panel,LAB,lab_panel,microbiology,LAB-SPUTUM,LAB-SPUTUM,LAB-SPUTUM,LAB-SPUTUM,keep,Sputum analysis,Анализ мокроты,Bəlğəm analizi,,
lab_panel,LAB,lab_panel,hematology,LAB-SMEAR,LAB-SMEAR,LAB-SMEAR,LAB-SMEAR,keep,Peripheral smear microscopy,Микроскопия мазка,Yaxma mikroskopiyası,,
lab_panel,LAB,lab_panel,biochemistry,LAB-BIOCHEM-EXT,LAB-BIOCHEM-EXT,LAB-BIOCHEM-EXT,LAB-BIOCHEM-EXT,keep,Biochemistry extended (clinic/send-in),Биохимия расширенная,Biokimya geniş,,
lab_panel,LAB,lab_panel,immunology,LAB-CELIAC,LAB-CELIAC,LAB-CELIAC,LAB-CELIAC,keep,Celiac panel,Целиакия,Seliakiya,,
visit,VISIT,visit,GP,GP-VISIT,GP-VISIT,VISIT-GP,VISIT-GP,flip-prefix,General visit,Общий приём,Ümumi qəbul,,
visit,VISIT,visit,CARDIO,CARDIO-VISIT,CARDIO-VISIT,VISIT-CARDIO,VISIT-CARDIO,flip-prefix,Cardiology visit,Кардиологический приём,Kardioloji qəbul,,
visit,VISIT,visit,GYN,GYN-VISIT,GYN-VISIT,VISIT-GYN,VISIT-GYN,flip-prefix,Gynecology visit,Гинекологический приём,Ginekoloji qəbul,,
visit,VISIT,visit,PED,PED-VISIT,PED-VISIT,VISIT-PED,VISIT-PED,flip-prefix,Pediatrics visit,Педиатрический приём,Pediatrik qəbul,,
visit,VISIT,visit,ENT,ENT-VISIT,ENT-VISIT,VISIT-ENT,VISIT-ENT,flip-prefix,ENT visit,ЛОР-приём,LOR qəbul,,
visit,VISIT,visit,NEURO,NEURO-VISIT,NEURO-VISIT,VISIT-NEURO,VISIT-NEURO,flip-prefix,Neurology visit,Неврологический приём,Nevroloji qəbul,,
visit,VISIT,visit,ENDOCRINE,ENDO-VISIT,ENDO-VISIT,VISIT-ENDOCRINE,VISIT-ENDOCRINE,flip-prefix,Endocrinology visit,Эндокринологический приём,Endokrinoloji qəbul,,
visit,VISIT,visit,URO,URO-VISIT,URO-VISIT,VISIT-URO,VISIT-URO,flip-prefix,Urology visit,Урологический приём,Uroloji qəbul,,
visit,VISIT,visit,DERM,DERM-VISIT,DERM-VISIT,VISIT-DERM,VISIT-DERM,flip-prefix,Dermatology visit,Дерматологический приём,Dermatoloji qəbul,,
visit,VISIT,visit,PULM,PULM-VISIT,PULM-VISIT,VISIT-PULM,VISIT-PULM,flip-prefix,Pulmonology visit,Пульмонологический приём,Pulmonoloji qəbul,,
visit,VISIT,visit,ORTHO,ORTHO-VISIT,ORTHO-VISIT,VISIT-ORTHO,VISIT-ORTHO,flip-prefix,Ortho / trauma visit,Ортопедия / травма,Ortopediya / travma,,
